,제목,URL,신문사,작성일,세부내용,url
24,'총선용 포퓰리즘' 지적에…'예타 면제' 기준 완화 보류,,머니투데이,2023.04.17,예비타당성조사(이하 예타) 면제 기준을 완화하는 내용이 담긴 '국가재정법 개정안' 처리가 보류됐다. 총선을 1년 앞두고 예타 기준 완화가 포퓰리즘이라는 비판이 거세진 때문으로 풀이된다. 국회 기획재정위원회는 17일 ,https://n.news.naver.com/mnews/article/008/0004876011?sid=100
25,"국회 기재위, 포퓰리즘 우려에 '예타 완화법' 처리 연기(종합)",,뉴시스,2023.04.17,"기사내용 요약 ""추가 논의 위해 오늘 상정하지 않기로"" 국회 기획재정위원회는 17일 대규모 국가 재정이 투입되는 사업의 예비타당성 조사(예타) 요건을 완화하기 위한 일명 '예타 완화법'을 상정하지 않으며 처리를 연기",https://n.news.naver.com/mnews/article/003/0011808093?sid=100
26,'예타 면제 기준 완화' 기재위 전체회의 상정 불발…표퓰리즘 비판에 '멈칫',,전자신문,2023.04.17,'예비타당성조사(예타)의 면제 기준 완화'를 골자로 한 국가재정법 개정안이 국회 상임위 문턱을 넘기 어렵게 됐다. 예타 면제 기준이 완화되면 총선을 앞두고 선심성 지역구 사업이 무분별하게 쏟아질 것이라는 비판 여론이,https://n.news.naver.com/mnews/article/030/0003091993?sid=100
27,‘예타 면제 완화법’ 기재위 처리 연기…“추가 논의 위해 상정 안 해”,,조선비즈,2023.04.17,기재위원장·여야 간사 등은 내일부터 유럽 출장 예정 대규모 국가 재정이 투입되는 사업의 ‘예비타당성조사(예타)’ 면제 기준을 대폭 완화하는 내용의 국가재정법 개정안의 국회 기획재정위원회 상정이 17일 불발됐다. 기재,https://n.news.naver.com/mnews/article/366/0000894254?sid=100
28,'포퓰리즘' 비판 의식했나… 기재위 '예타 완화법' 처리 연기,,머니S,2023.04.17,대규모 국가 재정을 투입하는 사업의 예비타당성 조사(예타) 요건 완화를 위한 이른바 '예타 완화법'(국가재정법 개정안)이 국회에서 상정되지 않았다. 국회 기획재정위원회 소속 윤영석(국민의힘·경남 양산갑) 기재위원장은,https://n.news.naver.com/mnews/article/417/0000913589?sid=100
29,재정준칙 30개월 손놓더니… ‘7박9일 유럽사례 시찰’ 떠나는 여야,,문화일보,2023.04.17,"■ 기재위 뒷북출장 논란 비판 일자 ‘예타완화’ 보류하고 ‘재정준칙’과 묶어 처리하기로 의원 5명, 내일부터 프랑스 등 방문 “재정준칙 해외사례 살펴볼 것” 여야가 총선용 포퓰리즘이라는 비판이 거세지자 당초 17일 ",https://n.news.naver.com/mnews/article/021/0002567006?sid=100
30,"[기자의눈] 1분만에 의결한 24년만의 예타 완화안, 5일 만에 번복한 기재위",,뉴스1,2023.04.18,"""어떻게 기획재정위원회 공무원이 언론플레이를 하나."", ""이미 지난해 12월 여야가 의결한 내용으로, 정부도 동의해서 통과했다.""(국회 기획재정위원회 여야 간사 류성걸 국민의힘·신동근 더불어민주당 의원) 지난 12일",https://n.news.naver.com/mnews/article/421/0006753337?sid=100
31,"여야, 예비타당성조사 면제 완화 법안 기재위 처리 연기",,경향신문,2023.04.17,여야가 17일 대규모 국가 재정이 투입되는 사업의 추진 여부를 결정하는 예비타당성조사(예타) 면제 기준을 완화하는 내용의 국가재정법 개정안 처리를 미루기로 했다. 총선용 포퓰리즘이라는 비판이 나오자 여당이 먼저 발을,https://n.news.naver.com/mnews/article/032/0003217852?sid=100
32,“총선 포퓰리즘” 비판에 ‘예타 완화’ 브레이크 건 與野,,국민일보,2023.04.18,여야가 국가재정이 대규모 투입되는 사업에 대한 ‘예비 타당성(예타) 조사’ 기준을 완화하는 내용의 법안 처리를 미루기로 했다. 내년 4월 총선을 1년 앞둔 시점에서 ‘선거용 포퓰리즘’ ‘선심용 사업 남발’ 등의 비판,https://n.news.naver.com/mnews/article/005/0001601970?sid=100
33,"국민의힘 “예비타당성 조사 면제 완화 법안, 처리 미룰 것”",,경향신문,2023.04.17,국민의힘이 대규모 국가 재정이 투입되는 사업의 추진 여부를 결정하는 예비타당성조사(예타) 면제 기준을 완화하는 내용의 국가재정법 개정안 처리를 미루겠다고 17일 밝혔다. 총선용 포퓰리즘이라는 비판이 나오자 속도 조절,https://n.news.naver.com/mnews/article/032/0003217715?sid=100
34,"윤재옥, ‘예타 완화법’에 “野, 재정준칙 도입 논의 즉시 재개해야”",,조선비즈,2023.04.17,‘예타 완화법’ 번복에 “국민 여론 충분히 수렴 후 신중히 추진” 박대출 “총선 포퓰리즘·재정건전성 우려 지적 받아들여야” 윤재옥 국민의힘 원내대표는 17일 대규모 국가 재정이 투입되는 사업의 ‘예비타당성조사(예타),https://n.news.naver.com/mnews/article/366/0000894105?sid=100
