title,showTm,grade,peopleNm,sale,audi,screen,staff_cnt,star_grade,direc_grade,ott_num,month,weight_y,actor_cnt,distributor,percentage,search
"날, 보러와요",90,18세이상,이철하,44472020524,5334514,2465,182,6.2,7,1,4,0.179928,3,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1324
대배우,108,12세이상,석민우,4656738912,632280,1085,245,6.1,9,3,3,0.250894,3,리틀빅픽처스,6.222222222,1977
헬머니,108,18세이상,신한솔,4121861972,523494,1000,226,6.9,4,2,3,0.250894,4,(주)NEW,12.88888889,1864
해어화,120,15세이상,박흥식,19935584602,2556656,1880,323,6.7,5,4,4,0.179928,3,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1622
극장판 프랭키와 친구들: 생명의 나무,71,전체관람가,박정오,2471362500,329378,553,68,8.4,3,1,4,0.179928,4,㈜예지림엔터테인먼트,0.444444444,10
위대한 소원,93,15세이상,남대중,8859296887,1111309,1460,181,8,5,1,4,0.179928,5,(주)NEW,12.88888889,1740
기방도령,110,15세이상,남대중,11033413210,1354364,1394,312,6.7,5,4,7,0.453727,5,판씨네마㈜,0.444444444,10
시간이탈자,107,15세이상,곽재용,40817381680,5017357,2690,380,6.8,7,3,4,0.179928,3,CJ 엔터테인먼트,20.88888889,1763
클래식,132,12세이상,곽재용,261990800,36237,197,148,9.1,7,3,1,0.540513,3,CJ 엔터테인먼트,20.88888889,2151
곡성,156,15세이상,나홍진,5.42E+11,66710331,6574,382,7.3,10,1,5,0.311886,5,이십세기폭스코리아㈜,0.888888889,1170
탐정 홍길동: 사라진 마을,125,15세이상,조성희,73517789497,9100398,2522,546,7.5,7,3,5,0.311886,2,CJ 엔터테인먼트,20.88888889,1706
극장판 안녕 자두야,75,전체관람가,손석우,10032181200,1312922,1005,114,6.9,4,3,5,0.311886,2,CJ 엔터테인먼트,20.88888889,1929
엽기적인 그녀 2,99,15세이상,조근식,2181095500,280346,815,244,3.2,3,1,5,0.311886,2,리틀빅픽처스,6.222222222,2395
특별수사: 사형수의 편지,120,15세이상,권종관,42597867144,5301294,2493,248,7.6,7,1,6,0.289811,2,리틀빅픽처스,6.222222222,2066
착한 여비서의 목적,70,18세이상,김효재,2879000,559,20,29,3,1,1,5,0.311886,2,리틀빅픽처스,6.222222222,2104
아가씨,144,18세이상,박찬욱,3.86E+11,46923170,4756,434,6.8,8,4,6,0.289811,3,CJ 엔터테인먼트,20.88888889,2225
박쥐,133,18세이상,박찬욱,14844126500,2206616,2000,308,5.5,8,4,4,0.179928,2,CJ 엔터테인먼트,20.88888889,2461
공동경비구역 JSA,110,15세이상,박찬욱,7572700,1009,1,26,9,8,4,9,0.439319,3,CJ 엔터테인먼트,20.88888889,1737
친절한 금자씨,112,18세이상,박찬욱,20489473593,3120481,2000,187,7.4,8,4,7,0.453727,1,CJ 엔터테인먼트,20.88888889,2878
복수는 나의 것,121,18세이상,박찬욱,8652000,1207,1,126,8.1,8,4,3,0.250894,3,CJ 엔터테인먼트,20.88888889,2635
굿바이 싱글,119,15세이상,김태곤,72056046075,8959526,2951,226,7.5,8,3,6,0.289811,3,CJ 엔터테인먼트,20.88888889,2142
봉이 김선달,120,12세이상,박대민,1.04E+11,13063327,2900,336,6.7,8,3,7,0.453727,5,CJ 엔터테인먼트,20.88888889,1538
사냥,92,15세이상,이우철,18725001960,2462944,1590,289,4,6,1,6,0.289811,4,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,2594
젊은엄마 : 디 오리지널,84,18세이상,정도수,2670000,516,20,33,6.9,6,1,6,0.289811,4,골든타이드픽처스(주),0.888888889,1556
빅뱅 메이드,114,12세이상,변진호,2469196900,293461,203,104,8.9,3,1,6,0.289811,5,골든타이드픽처스(주),0.888888889,2022
트릭,94,15세이상,이창열,834064100,107125,733,124,6.3,2,1,7,0.453727,3,(주)이수C&E,1.333333333,1327
부산행,118,15세이상,연상호,1.03E+12,127121333,7142,484,7.3,10,2,7,0.453727,7,(주)NEW,12.88888889,1251
염력,101,15세이상,연상호,36250751905,4794454,2418,735,5.4,10,2,1,0.540513,3,(주)NEW,12.88888889,1583
인천상륙작전,110,12세이상,이재한,4.38E+11,55997943,4607,658,5.6,9,4,7,0.453727,4,CJ 엔터테인먼트,20.88888889,2013
인천상륙작전 : 익스텐디드 에디션(확장판),140,15세이상,이재한,638755100,77892,237,6,9.14,9,1,9,0.439319,4,CJ 엔터테인먼트,20.88888889,1335
덕혜옹주,126,12세이상,허진호,5.22E+11,65671599,4761,462,7.3,9,3,8,1,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1423
천문: 하늘에 묻는다,132,12세이상,허진호,19177275150,2327191,2316,717,8.3,9,3,12,0.647057,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,946
터널,126,12세이상,김성훈,3.42E+11,42221217,5002,369,7.2,10,1,8,1,3,㈜쇼박스 Showbox Inc.,9.333333333,1692
공조,125,15세이상,김성훈,4.05E+11,49594953,6414,426,7.2,10,4,1,0.540513,3,CJ 엔터테인먼트,20.88888889,1753
뽀로로 극장판 공룡섬 대모험,78,전체관람가,김성훈,48556996000,6425681,2640,269,8.4,10,1,12,0.647057,7,(주)NEW,12.88888889,1281
"시발, 놈: 인류의 시작",71,15세이상,백승기,6370200,827,13,42,4.7,1,1,8,1,3,(주)엣나인필름,0.444444444,10
"고산자, 대동여지도",129,전체관람가,강우석,40360787887,5028184,2282,514,7.3,6,4,9,0.439319,2,CJ 엔터테인먼트,20.88888889,1627
올레,103,15세이상,채두병,1453161700,184281,704,203,6.9,3,3,8,1,3,리틀빅픽처스,6.222222222,1865
밀정,139,15세이상,김지운,4.29E+11,52394697,6109,444,7.7,10,2,9,0.439319,2,워너브러더스 코리아㈜,3.555555556,894
인랑,138,15세이상,김지운,40856251371,5242289,1986,881,4.6,10,2,7,0.453727,4,워너브러더스 코리아㈜,3.555555556,1731
달빛궁궐,80,전체관람가,김현주,8380158800,1111071,924,243,5.8,4,1,9,0.439319,4,워너브러더스 코리아㈜,3.555555556,1859
살인의 추억,127,15세이상,봉준호,99196888,15428,50,150,9.4,10,4,4,0.179928,2,워너브러더스 코리아㈜,3.555555556,2026
마더,128,18세이상,봉준호,39967968600,5962574,2500,357,8.1,10,1,5,0.311886,2,CJ 엔터테인먼트,20.88888889,5172
기생충,131,15세이상,봉준호,9.17E+11,107371684,8982,623,7.9,10,4,5,0.311886,7,CJ 엔터테인먼트,20.88888889,875
아수라,132,18세이상,김성수,1.16E+11,14636637,3524,496,6.8,8,4,9,0.439319,3,CJ 엔터테인먼트,20.88888889,2117
물레방아,92,12세이상,이만희,2010000,1005,3,7,9,6,1,11,0.293613,4,CJ 엔터테인먼트,20.88888889,3984
럭키,112,15세이상,이계벽,3.75E+11,46200810,6757,409,7,10,1,10,0.461286,4,㈜쇼박스 Showbox Inc.,9.333333333,2488
"힘을 내요, 미스터 리",110,12세이상,이계벽,86674227454,10268319,2798,474,7.7,10,3,9,0.439319,3,(주)NEW,12.88888889,2345
걷기왕,92,12세이상,백승화,4607459625,610342,1056,209,6.9,3,3,10,0.461286,2,CGV아트하우스,5.333333333,1880
사랑하기 때문에,110,12세이상,주지홍,12852605000,1630347,1364,243,7.8,2,2,1,0.540513,3,(주)NEW,12.88888889,2059
혼숨,88,15세이상,이두환,8066325811,1030022,1289,208,6.2,5,2,10,0.461286,2,㈜프레인글로벌,0.444444444,2145
스플릿,121,15세이상,최국희,27373397086,3382319,2177,223,7.6,8,3,11,0.293613,4,오퍼스픽쳐스,3.555555556,2355
국가부도의 날,114,12세이상,최국희,1.88E+11,22821542,4602,382,8.1,8,4,11,0.293613,4,CJ 엔터테인먼트,20.88888889,1362
가려진 시간,129,12세이상,엄태화,26524658267,3420930,2097,419,7.6,5,3,11,0.293613,3,㈜쇼박스 Showbox Inc.,9.333333333,1964
형,109,12세이상,권수경,1.61E+11,20753583,3915,321,7.3,9,4,11,0.293613,3,CJ 엔터테인먼트,20.88888889,3194
아더왕의 전설,127,전체관람가,정성복,7473500,493,5,0,8.93,2,1,11,0.293613,3,CJ 엔터테인먼트,20.88888889,
노트르담 드 파리,129,전체관람가,정성복,73353500,5994,38,1,8.5,2,1,11,0.293613,3,패뷸러스,0.444444444,1667
미씽: 사라진 여자,99,15세이상,이언희,40149620085,5205783,2330,272,7.6,8,2,11,0.293613,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1926
탐정: 리턴즈,116,15세이상,이언희,1.85E+11,21555983,4770,307,7.4,8,3,6,0.289811,3,CJ 엔터테인먼트,20.88888889,965
두 남자,91,18세이상,이성태,1317348463,172300,769,126,6.3,5,3,11,0.293613,2,(주)키다리스튜디오,2.222222222,1923
양자물리학,119,15세이상,이성태,21197894250,2591447,1950,377,8.5,5,3,9,0.439319,3,㈜메리크리스마스,0.888888889,1940
암살,139,15세이상,최동훈,98465102781,12706341,2900,511,8.5,10,1,7,0.453727,3,㈜쇼박스 Showbox Inc.,9.333333333,2951
목숨 건 연애,103,15세이상,송민규,1012976600,134362,726,310,5.1,3,1,12,0.647057,3,오퍼스픽쳐스,3.555555556,1450
마스터,142,15세이상,조의석,5.27E+11,64882973,5824,427,7.2,9,1,12,0.647057,3,CJ 엔터테인먼트,20.88888889,5466
더 킹,134,15세이상,한재림,2.18E+11,26587926,4908,449,7.5,10,2,1,0.540513,5,(주)NEW,12.88888889,1286
음란 과외 - 무삭제판,93,18세이상,최우성,842000,165,19,1,3,1,1,1,0.540513,4,(주)NEW,12.88888889,1613
음란 선비 - 무삭제판,90,18세이상,최우성,842000,165,20,0,8,1,1,1,0.540513,3,(주)NEW,12.88888889,10
미용실 : 특별한 서비스 무삭제,91,18세이상,이리단,593000,116,20,3,5,1,1,1,0.540513,2,㈜영화사 사계절,0.444444444,1232
조작된 도시,126,15세이상,박광현,1.65E+11,20489362,3536,634,8,8,3,2,0.868964,2,CJ 엔터테인먼트,20.88888889,1499
"그래, 가족",106,12세이상,마대윤,960142400,127230,712,193,7.6,3,2,2,0.868964,4,월트 디즈니 컴퍼니 코리아 (유) 스튜디오,0.444444444,1294
레이디버그,80,전체관람가,장성,808779500,106661,344,76,6.7,2,1,2,0.868964,3,삼지애니메이션,1.333333333,6940
원라인,131,15세이상,양경모,12078008632,1578218,1621,277,7.5,5,2,3,0.250894,3,(주)NEW,12.88888889,2004
비정규직 특수요원,117,15세이상,김덕수,3187129600,412312,1039,266,6.3,4,4,3,0.250894,2,(주)이수C&E,1.333333333,1330
왕을 참하라,115,18세이상,김재수,58414700,7528,98,135,6.2,2,1,3,0.250894,2,BoXoo 엔터테인먼트 Boxoo Entertainment,0.444444444,1188
보통사람,121,15세이상,김봉한,10785712892,1389496,1607,261,8.1,5,3,3,0.250894,2,오퍼스픽쳐스,3.555555556,1937
시간위의 집,99,15세이상,임대웅,2846275700,357987,1005,217,6.3,3,4,4,0.179928,3,오퍼스픽쳐스,3.555555556,1691
아빠는 딸,114,12세이상,김형협,36730600186,4686990,1983,172,6.9,6,3,4,0.179928,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1696
임금님의 사건수첩,114,12세이상,문현성,80376396156,10372582,3114,363,7.2,8,4,4,0.179928,2,CJ 엔터테인먼트,20.88888889,1135
청불학원: 무삭제판,102,18세이상,장항준,2353000,465,20,0,6.9,7,1,4,0.179928,4,CJ 엔터테인먼트,20.88888889,10
특별시민,130,15세이상,박인제,69737707215,9044805,2928,351,6.4,7,3,4,0.179928,3,㈜쇼박스 Showbox Inc.,9.333333333,1084
극장판 또봇: 로봇군단의 습격,81,전체관람가,이민재,4709338500,610360,555,208,9.4,4,1,4,0.179928,3,㈜쇼박스 Showbox Inc.,9.333333333,10
슈퍼 빼꼼: 스파이 대작전,76,전체관람가,이창동,4068352700,566445,604,85,7.8,6,2,5,0.311886,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1021
불한당: 나쁜 놈들의 세상,119,18세이상,변성현,1.25E+11,15531930,2550,508,4.3,6,3,5,0.311886,2,CJ 엔터테인먼트,20.88888889,1484
파워배틀 와치카: 와치가면의 역습,73,전체관람가,박희준,586727000,81572,459,113,10,1,2,6,0.289811,4,삼지애니메이션,1.333333333,10
대립군,129,15세이상,정윤철,35541509012,4715928,2012,637,7.9,6,2,5,0.311886,3,이십세기폭스코리아㈜,0.888888889,10
악녀,123,18세이상,정병길,59286171439,7326525,2792,307,6.7,7,2,6,0.289811,5,(주)NEW,12.88888889,2054
하루,90,15세이상,조선호,39785307316,4928343,2607,377,6.7,7,2,6,0.289811,2,CGV아트하우스,5.333333333,3193
군함도,132,15세이상,류승완,4.81E+11,62681470,5553,657,6.7,10,4,7,0.453727,5,CJ 엔터테인먼트,20.88888889,1734
청년경찰,108,15세이상,김주환,3.48E+11,44284244,5167,279,6.8,9,4,8,1,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,10
사자,128,15세이상,김주환,60286259985,7531305,3211,585,7,9,3,7,0.453727,3,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,3416
장산범,99,15세이상,허정,55409389625,6980588,2321,497,5.9,7,2,8,1,2,(주)NEW,12.88888889,2564
로마의 휴일,107,15세이상,이덕희,3825940804,517188,911,201,6.3,3,3,8,1,3,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1943
두 엄마,80,18세이상,이도시,1794000,350,20,21,4,1,1,8,1,4,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1568
붉은 비키니 무삭제판,101,18세이상,최무연,1853000,360,20,0,5.6,1,1,8,1,4,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,10
버닝,147,18세이상,최무연,25124388088,2807059,2238,266,6.9,1,4,5,0.311886,3,CGV아트하우스,5.333333333,343
살인자의 기억법,118,15세이상,원신연,1.32E+11,16323337,4045,333,7,10,4,9,0.439319,4,CGV아트하우스,5.333333333,1726
봉오동 전투,134,15세이상,원신연,2.51E+11,29528820,5611,711,8.8,10,4,8,1,3,CGV아트하우스,5.333333333,1765
원정여행,75,18세이상,국만중,937000,177,20,18,3.4,1,1,8,1,4,THE 픽쳐스,0.444444444,10
이웃집 스타,98,12세이상,임아론,222173900,30335,473,161,5.6,3,2,9,0.439319,2,(주)스톰픽쳐스코리아,0.888888889,1435
범죄도시,121,18세이상,강윤성,5.23E+11,63704847,7106,305,8.3,9,2,10,0.461286,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1083
롱 리브 더 킹: 목포 영웅,117,15세이상,강윤성,51520102580,6081686,2662,428,7.6,9,2,6,0.289811,5,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1921
남한산성,140,15세이상,황동혁,2.1E+11,25768715,3833,624,7.4,9,4,10,0.461286,5,CJ 엔터테인먼트,20.88888889,685
넛잡 2,91,전체관람가,캘런 브런커,19576625700,2614240,1571,106,8.5,5,1,10,0.461286,6,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1697
부라더,102,12세이상,장유정,63239702326,7972649,3101,185,6.7,7,4,11,0.293613,3,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1575
희생부활자,91,15세이상,곽경택,6914275405,881581,1684,305,5.6,8,4,10,0.461286,2,㈜쇼박스 Showbox Inc.,9.333333333,10
대장 김창수,114,12세이상,이원태,7656068045,999768,1733,432,8.7,8,1,10,0.461286,2,(주)키다리스튜디오,2.222222222,1704
악인전,109,18세이상,이원태,2.41E+11,27697193,4450,434,7.4,8,3,5,0.311886,3,㈜아센디오,0.444444444,10
채비,114,12세이상,강형철,7583790348,1052533,1284,209,8.9,7,3,11,0.293613,2,오퍼스픽쳐스,3.555555556,1053
침묵,125,15세이상,정지우,14056209556,1758844,1695,334,7,6,4,11,0.293613,4,CJ 엔터테인먼트,20.88888889,1839
유열의 음악앨범,122,12세이상,정지우,45272395560,5524261,3336,426,7.1,6,3,8,1,2,CGV아트하우스,5.333333333,2062
역모-반란의 시대,102,15세이상,김현석,804908000,110032,672,168,3.5,9,1,11,0.293613,2,(주)스톰픽쳐스코리아,0.888888889,10
미옥,90,18세이상,이안규,11090020084,1390227,1292,457,4.4,3,3,11,0.293613,3,(주)키다리스튜디오,2.222222222,1156
7호실,100,15세이상,이용승,10028558454,1297652,1409,207,6,5,3,11,0.293613,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,10
꾼,116,15세이상,장창원,1.91E+11,24487011,4979,470,6.7,10,4,11,0.293613,6,㈜쇼박스 Showbox Inc.,9.333333333,2130
반드시 잡는다,110,15세이상,김홍선,11887123788,1588578,1559,279,6.8,2,2,11,0.293613,2,(주)NEW,12.88888889,1212
데자뷰,86,15세이상,김홍선,1038417100,138777,950,170,3.4,2,1,5,0.311886,3,(주)키다리스튜디오,2.222222222,1152
변신,112,15세이상,김홍선,65649646009,7641234,3411,426,7.3,2,4,8,1,2,(주)에이스메이커무비웍스,1.333333333,2492
기억의 밤,108,15세이상,송창용,65895230685,8575174,2750,338,7.8,2,3,11,0.293613,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,757
강철비,139,15세이상,양우석,2.12E+11,26503971,4991,595,8.5,9,3,12,0.647057,2,(주)NEW,12.88888889,1859
1987,129,15세이상,장준환,4.96E+11,61623785,6625,668,9.5,8,4,12,0.647057,6,CJ 엔터테인먼트,20.88888889,1465
돌아와요 부산항애(愛),114,15세이상,최성현,99223800,12432,101,118,4.6,7,3,1,0.540513,4,나이너스 엔터테인먼트 9ers Entertainment,0.444444444,10
1급기밀,100,12세이상,홍기선,4866188300,609685,1159,262,8.9,1,2,1,0.540513,2,리틀빅픽처스,6.222222222,10
조선명탐정: 흡혈괴마의 비밀,119,12세이상,김석윤,84114829140,10342911,3880,446,6.6,8,3,2,0.868964,3,㈜쇼박스 Showbox Inc.,9.333333333,1723
터닝메카드W: 반다인의 비밀 특별판,75,전체관람가,홍헌표,295234900,38909,275,100,8.4,2,1,2,0.868964,3,㈜제이앤씨미디어그룹,0.444444444,10
리틀 포레스트,103,전체관람가,임순례,72478457772,9149538,3497,265,8.4,7,2,2,0.868964,4,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1796
지금 만나러 갑니다,131,12세이상,이장훈,1.65E+11,20554061,4911,312,8,9,3,3,0.250894,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1787
치즈인더트랩,116,15세이상,김제영,5075094600,612868,872,235,6.1,4,1,3,0.250894,2,리틀빅픽처스,6.222222222,982
덕구,91,전체관람가,방수인,21798841700,2865372,1724,178,8.7,5,4,4,0.179928,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1383
곤지암,94,15세이상,정범식,1.35E+11,16944901,4008,310,5.1,9,4,3,0.250894,7,㈜쇼박스 Showbox Inc.,9.333333333,1107
7년의 밤,123,15세이상,추창민,18925624220,2513152,1903,546,5.3,6,4,3,0.250894,4,CJ 엔터테인먼트,20.88888889,1689
바람 바람 바람,100,18세이상,이병헌,52220697824,6377610,2995,326,6.3,10,2,4,0.179928,4,(주)NEW,12.88888889,8731
극한직업,111,15세이상,이병헌,1.29E+12,150477890,11031,518,7.4,10,4,1,0.540513,5,CJ 엔터테인먼트,20.88888889,1977
머니백,100,15세이상,허준형,1187224400,150310,957,238,6.6,3,2,4,0.179928,7,리틀빅픽처스,6.222222222,2304
파파 오랑후탄,83,12세이상,장재혁,38427000,5075,7,42,9.2,3,1,4,0.179928,1,리틀빅픽처스,6.222222222,10
독전,123,15세이상,이해영,3E+11,34837542,6357,425,6.6,10,3,5,0.311886,6,(주)NEW,12.88888889,867
국제시장,126,12세이상,윤제균,1.11E+11,14262766,3500,548,7.1,10,4,12,0.647057,3,CJ 엔터테인먼트,20.88888889,1417
내 엄마의 친구,80,18세이상,이진명,1292000,239,20,9,10,1,1,5,0.311886,2,CJ 엔터테인먼트,20.88888889,1514
정사 : 아내의 친구,70,18세이상,조태호,758000,128,20,36,1,1,1,5,0.311886,5,CJ 엔터테인먼트,20.88888889,1300
허스토리,120,12세이상,민규동,18635967492,2489393,1797,247,9,6,1,6,0.289811,2,(주)NEW,12.88888889,1888
변산,122,15세이상,이창재,18254091815,2214544,2025,379,8.4,8,3,7,0.453727,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,2229
여중생A,114,12세이상,이경섭,3707357500,444205,1074,172,7.9,4,3,6,0.289811,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1360
속닥속닥,91,15세이상,최상훈,5223901300,594833,710,112,3.9,4,3,7,0.453727,8,㈜그노스,0.444444444,1957
신비아파트: 금빛 도깨비와 비밀의 동굴,67,전체관람가,김병갑,26942931000,3642183,2011,190,7.6,6,1,7,0.453727,4,CJ 엔터테인먼트,20.88888889,1134
해적왕 작스톰,81,전체관람가,필립 귀엔,80059900,10030,128,0,7.8,2,1,7,0.453727,6,CJ 엔터테인먼트,20.88888889,10
공작,137,12세이상,윤종빈,2.63E+11,30550000,5202,465,8.4,10,4,8,1,4,CJ 엔터테인먼트,20.88888889,2011
너의 결혼식,110,12세이상,이석근,1.64E+11,19459167,4373,241,7.4,9,4,8,1,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1586
상류사회,119,18세이상,변혁,28944538265,3521392,2460,307,4.1,6,4,8,1,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1740
꽃찌: 독이 있는 사랑,87,18세이상,김문옥,2286000,1133,3,40,9.9,1,1,8,1,4,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,10
미친도시,124,15세이상,장태령,23671000,3128,7,31,9,2,1,8,1,3,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,10
물괴,105,15세이상,허종호,29436443870,3480628,2530,729,5.3,6,3,9,0.439319,7,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,2155
명당,126,12세이상,박희곤,1.13E+11,13138419,3282,441,6.7,8,4,9,0.439319,7,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1689
극장판 뽀잉: 슈퍼 변신의 비밀,72,전체관람가,정미화,981119500,126688,618,139,9.7,2,2,9,0.439319,4,(주)이수C&E,1.333333333,10
원더풀 고스트,96,12세이상,조원희,17945045400,2168325,2000,188,7.6,5,1,9,0.439319,3,TCO(주)더콘텐츠온,0.888888889,1413
창궐,121,15세이상,이성관,61271159424,7323071,3602,581,5.7,1,2,10,0.461286,2,(주)NEW,12.88888889,1104
완벽한 타인,115,15세이상,이재규,3.4E+11,40529601,6672,451,7.5,10,4,10,0.461286,7,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1698
