moviecode,ott,title,title_en,title_ori,showTm,genre,grade,peopleNm,sale,audi,screen,openDt,staff_cnt,평점,direc_grade
20150903,[],번개맨,Bungaeman,,72,"판타지,가족",전체관람가,조근현,1923043300,254895,727,2016-02-11,279,5.8,4
20176104,"['왓챠', '넷플릭스', '티빙', '웨이브']",그것만이 내 세상,Keys to the Heart,,120,"코미디,드라마",12세이상관람가,조근현,1.54E+11,19107461,4849,2018-01-17,296,8.8,4
20150977,"['왓챠', '넷플릭스', '티빙', '웨이브']",좋아해줘,Like for Likes,,122,"멜로/로맨스,코미디",12세이상관람가,박현진,29124410685,3755094,1784,2016-02-17,283,8,6
20161364,"['왓챠', '티빙', '웨이브']",귀향,Spirits' Homecoming,,127,드라마,15세이상관람가,조정래,2.14E+11,28146698,4315,2016-02-24,204,9.7,9
20145502,['왓챠'],남과 여,A Man and A Woman,,115,멜로/로맨스,청소년관람불가,이윤기,7524302465,926612,1029,2016-02-25,238,7.5,4
20167901,[],어느날,Oneday,,113,멜로/로맨스,15세이상관람가,이윤기,6749048028,852947,1350,2017-04-05,207,7.5,4
20152541,"['왓챠', '넷플릭스', '티빙', '웨이브']",무수단,MUSUDAN,,87,"미스터리,스릴러",15세이상관람가,구모,244607300,30286,419,2016-03-03,164,3.2,2
20145396,['웨이브'],널 기다리며,Missing You,,108,스릴러,청소년관람불가,모홍진,22733841460,2747708,1794,2016-03-10,269,7.4,9
20157105,[],수상한 언니들,Summer of Director Oh,,97,"멜로/로맨스,코미디",청소년관람불가,노진수,2583000,466,21,2016-03-03,40,6.7,1
20179481,['왓챠'],사랑받지 못한 여자,ANGEL IS DEAD,,87,"드라마,멜로/로맨스",청소년관람불가,노진수,2097000,327,14,2017-01-24,51,6.7,1
20152782,[],"날, 보러와요",INSANE,,90,"미스터리,스릴러",청소년관람불가,이철하,44472020524,5334514,2465,2016-04-07,182,6.2,7
20150902,"['왓챠', '티빙', '웨이브']",대배우,THE GREAT ACTOR,,108,코미디,12세이상관람가,석민우,4656738912,632280,1085,2016-03-30,245,6.1,9
20148841,"['티빙', '웨이브']",헬머니,Granny's Got Talent,,108,코미디,청소년관람불가,신한솔,4121861972,523494,1,2015-03-05,226,6.9,4
20145506,"['왓챠', '넷플릭스', '티빙', '웨이브']",해어화,"LOVE, LIES",,120,"사극,드라마",15세이상관람가,박흥식,19935584602,2556656,1880,2016-04-13,323,6.7,5
20162431,[],극장판 프랭키와 친구들: 생명의 나무,Franky and Friends: A Tree of Life,,71,애니메이션,전체관람가,박정오,2471362500,329378,553,2016-04-13,68,8.4,3
20159641,['웨이브'],위대한 소원,THE LAST RIDE,,93,"코미디,드라마",15세이상관람가,남대중,8859296887,1111309,1460,2016-04-21,181,8,5
20185353,"['왓챠', '넷플릭스', '티빙', '웨이브']",기방도령,HOMME FATALE,,110,"코미디,사극",15세이상관람가,남대중,11033413210,1354364,1394,2019-07-10,312,6.7,5
20142621,"['왓챠', '넷플릭스', '티빙']",시간이탈자,Time Renegades,,107,스릴러,15세이상관람가,곽재용,40817381680,5017357,2690,2016-04-13,380,6.8,7
20030003,"['왓챠', '넷플릭스', '웨이브']",클래식,The Classic,,132,드라마,12세관람가,곽재용,261990800,36237,197,2003-01-30,148,9.1,7
20140194,[],곡성,THE WAILING,,156,"미스터리,스릴러,드라마",15세이상관람가,나홍진,5.42E+11,66710331,6574,2016-05-12,382,7.3,10
20142406,"['왓챠', '넷플릭스', '웨이브']",탐정 홍길동: 사라진 마을,The Phantom Detective,,125,"드라마,액션",15세이상관람가,조성희,73517789497,9100398,2522,2016-05-04,546,7.5,7
20162704,"['넷플릭스', '왓챠', '웨이브']",극장판 안녕 자두야,Hello Jadoo,,75,애니메이션,전체관람가,손석우,10032181200,1312922,1005,2016-05-04,114,6.9,4
20143509,['웨이브'],엽기적인 그녀 2,My New Sassy Girl,,99,"멜로/로맨스,코미디",15세이상관람가,조근식,2181095500,280346,815,2016-05-12,244,3.2,3
20159645,['웨이브'],특별수사: 사형수의 편지,Proof of Innocence,,120,"범죄,드라마",15세이상관람가,권종관,42597867144,5301294,2493,2016-06-16,248,7.6,7
20164001,[],착한 여비서의 목적,,,70,멜로/로맨스,청소년관람불가,김효재,2879000,559,20,2016-05-20,29,3,1
20144444,"['왓챠', '넷플릭스', '티빙', '웨이브']",아가씨,The Handmaiden,,144,"스릴러,드라마",청소년관람불가,박찬욱,3.86E+11,46923170,4756,2016-06-01,434,6.8,8
20081003,"['왓챠', '넷플릭스', '티빙', '웨이브']",박쥐,Thirst,,133,"공포(호러),드라마",청소년관람불가,박찬욱,14844126500,2206616,1,2009-04-30,308,5.5,8
20000044,"['왓챠', '넷플릭스', '티빙', '웨이브']",공동경비구역 JSA,Joint Security Area /JSA,,110,"드라마,미스터리",15세관람가,박찬욱,7572700,1009,1,2000-09-08,26,9,8
20050148,"['왓챠', '넷플릭스', '티빙', '웨이브']",친절한 금자씨,Sympathy for Lady Vengeance,,112,스릴러,18세관람가,박찬욱,20489473593,3120481,1,2005-07-29,187,7.4,8
20020106,"['왓챠', '넷플릭스', '티빙', '웨이브']",복수는 나의 것,Sympathy for Mr. Vengeance,,121,"범죄,스릴러",18세관람가,박찬욱,8652000,1207,1,2002-03-28,126,8.1,8
20150972,"['왓챠', '넷플릭스', '웨이브']",굿바이 싱글,Familyhood,,119,"코미디,드라마",15세이상관람가,김태곤,72056046075,8959526,2951,2016-06-29,226,7.5,8
20159644,"['왓챠', '넷플릭스', '웨이브']",봉이 김선달,Seondal: The Man who Sells the River,,120,사극,12세이상관람가,박대민,1.04E+11,13063327,2900,2016-07-06,336,6.7,8
20154906,[],사냥,The Hunt,,92,액션,15세이상관람가,이우철,18725001960,2462944,1590,2016-06-29,289,4,6
20165801,[],젊은엄마 : 디 오리지널,,,84,멜로/로맨스,청소년관람불가,정도수,2670000,516,20,2016-06-23,33,6.9,6
20165042,['웨이브'],빅뱅 메이드,BIGBANG MADE,,114,다큐멘터리,12세이상관람가,변진호,2469196900,293461,203,2016-06-30,104,8.9,3
20158982,['왓챠'],트릭,Trick,,94,"스릴러,드라마",15세이상관람가,이창열,834064100,107125,733,2016-07-13,124,6.3,2
20156564,"['넷플릭스', '웨이브']",부산행,TRAIN TO BUSAN,,118,"액션,스릴러",15세이상관람가,연상호,1.03E+12,127121333,7142,2016-07-20,484,7.3,10
20168323,"['넷플릭스', '웨이브']",염력,Psychokinesis,,101,"드라마,코미디",15세이상관람가,연상호,36250751905,4794454,2418,2018-01-31,735,5.4,10
20156250,"['왓챠', '넷플릭스', '티빙', '웨이브']",인천상륙작전,Operation Chromite,,110,"전쟁,드라마",12세이상관람가,이재한,4.38E+11,55997943,4607,2016-07-27,658,5.6,9
20160041,[],인천상륙작전 : 익스텐디드 에디션(확장판),Operation Chromite,,140,"전쟁,드라마",15세이상관람가,이재한,638755100,77892,237,2016-09-13,6,9.14,9
20150979,"['왓챠', '티빙', '웨이브']",덕혜옹주,The Last Princess,,126,"사극,드라마",12세이상관람가,허진호,5.22E+11,65671599,4761,2016-08-03,462,7.3,9
20184571,"['넷플릭스', '왓챠', '웨이브']",천문: 하늘에 묻는다,Forbidden Dream,,132,사극,12세이상관람가,허진호,19177275150,2327191,2316,2019-12-26,717,8.3,9
20154910,[],터널,Tunnel,,126,드라마,12세이상관람가,김성훈,3.42E+11,42221217,5002,2016-08-10,369,7.2,10
20151228,"['왓챠', '넷플릭스', '티빙', '웨이브']",공조,Confidential Assignment,,125,액션,15세이상관람가,김성훈,4.05E+11,49594953,6414,2017-01-18,426,7.2,10
20174846,['왓챠'],뽀로로 극장판 공룡섬 대모험,"Pororo, Dinosaur Island Adventure",,78,애니메이션,전체관람가,김성훈,48556996000,6425681,2640,2017-12-07,269,8.4,10
20167541,[],색다른 정사,,,59,"멜로/로맨스,드라마",청소년관람불가,이재남,933000,177,20,2016-08-04,13,,1
20152105,[],"시발, 놈: 인류의 시작",Super Origin,,71,"코미디,드라마",15세이상관람가,백승기,6370200,827,13,2016-08-18,42,4.7,1
20159648,"['왓챠', '넷플릭스', '티빙', '웨이브']","고산자, 대동여지도",The Map Against the World,,129,사극,전체관람가,강우석,40360787887,5028184,2282,2016-09-07,514,7.3,6
20150901,"['넷플릭스', '티빙', '웨이브']",올레,DETOUR,,103,"드라마,코미디",15세이상관람가,채두병,1453161700,184281,704,2016-08-25,203,6.9,3
20159646,"['왓챠', '웨이브']",밀정,The Age of Shadows,,139,액션,15세이상관람가,김지운,4.29E+11,52394697,6109,2016-09-07,444,7.7,10
20170942,"['넷플릭스', '웨이브']",인랑,ILLANG : THE WOLF BRIGADE,,138,"SF,액션",15세이상관람가,김지운,40856251371,5242289,1986,2018-07-25,881,4.6,10
20166541,['웨이브'],달빛궁궐,Lost in the moonlight,,80,"애니메이션,판타지,어드벤처",전체관람가,김현주,8380158800,1111071,924,2016-09-07,243,5.8,4
19580069,"['넷플릭스', '왓챠', '티빙', '웨이브']",돈,The Money,,123,"드라마,범죄",,김소동,1.78E+11,20863414,5890,1950-03-09,1,6.8,9
20030046,"['왓챠', '넷플릭스', '티빙', '웨이브']",살인의 추억,Memories of Murder,,127,스릴러,15세관람가,봉준호,99196888,15428,50,2003-04-25,150,9.4,10
20090248,[],마더,Mother,,128,드라마,청소년관람불가,봉준호,39967968600,5962574,14,2009-05-28,357,8.1,10
20183782,"['왓챠', '넷플릭스', '티빙', '웨이브']",기생충,PARASITE,,131,드라마,15세이상관람가,봉준호,9.17E+11,107371684,8982,2019-05-30,623,7.9,10
20153443,"['왓챠', '넷플릭스', '티빙', '웨이브']",아수라,Asura : The City of Madness,,132,"범죄,액션",청소년관람불가,김성수,1.16E+11,14636637,3524,2016-09-28,496,6.8,8
19678075,[],원점,The Starting Point,,97,"액션,멜로/로맨스",,이만희,2228000,1114,1, ,0,3,6
19660041,[],물레방아,A Water Mill,,92,멜로/로맨스,12세이상관람가,이만희,2010000,1005,3,1966-11-10,7,9,6
20153444,[],럭키,LUCK-KEY,,112,코미디,15세이상관람가,이계벽,3.75E+11,46200810,6757,2016-10-13,409,7,10
20187322,"['넷플릭스', '티빙', '웨이브']","힘을 내요, 미스터 리","CHEER UP, MR. LEE",,110,"코미디,드라마",12세이상관람가,이계벽,86674227454,10268319,2798,2019-09-11,474,7.7,10
20151022,"['왓챠', '티빙', '웨이브']",걷기왕,Queen of Walking,,92,드라마,12세이상관람가,백승화,4607459625,610342,1056,2016-10-20,209,6.9,3
20150966,"['넷플릭스', '웨이브']",사랑하기 때문에,BECAUSE I LOVE YOU,,110,"코미디,멜로/로맨스",12세이상관람가,주지홍,12852605000,1630347,1364,2017-01-04,243,7.8,2
20150564,"['왓챠', '티빙']",혼숨,HIDE-AND-NEVER SEEK,,88,공포(호러),15세이상관람가,이두환,8066325811,1030022,1289,2016-10-26,208,6.2,5
20163521,"['왓챠', '티빙', '웨이브']",스플릿,SPLIT,,121,드라마,15세이상관람가,최국희,27373397086,3382319,2177,2016-11-09,223,7.6,8
20177552,"['왓챠', '넷플릭스', '티빙', '웨이브']",국가부도의 날,Default,,114,드라마,12세이상관람가,최국희,1.88E+11,22821542,4602,2018-11-28,382,8.1,8
20154905,"['넷플릭스', '왓챠', '웨이브']",가려진 시간,VANISHING TIME: A BOY WHO RETURNED,,129,"드라마,판타지",12세이상관람가,엄태화,26524658267,3420930,2097,2016-11-16,419,7.6,5
20154661,"['왓챠', '넷플릭스', '티빙', '웨이브']",형,MY ANNOYING BROTHER,,109,"코미디,드라마",12세이상관람가,권수경,1.61E+11,20753583,3915,2016-11-23,321,7.3,9
20163107,[],아더왕의 전설,LA LEGENDE DU ROI ARTHUR,,127,"공연,뮤지컬",전체관람가,정성복,7473500,493,5,2016-11-09,0,8.93,2
20171885,[],노트르담 드 파리,Notre-Dame de Paris,,129,"뮤지컬,공연",전체관람가,정성복,73353500,5994,38,2017-11-01,1,8.5,2
20153741,"['넷플릭스', '웨이브']",미씽: 사라진 여자,MISSING,,99,미스터리,15세이상관람가,이언희,40149620085,5205783,2330,2016-11-30,272,7.6,8
20178161,"['왓챠', '넷플릭스', '웨이브']",탐정: 리턴즈,The Accidental Detective 2: In Action,,116,"코미디,범죄",15세이상관람가,이언희,1.85E+11,21555983,4770,2018-06-13,307,7.4,8
20160472,"['왓챠', '티빙', '웨이브']",두 남자,Derailed,,91,"범죄,액션",청소년관람불가,이성태,1317348463,172300,769,2016-11-30,126,6.3,5
20194456,"['왓챠', '티빙', '웨이브']",양자물리학,By Quantum Physics: A Nightlife Venture,,119,범죄,15세이상관람가,이성태,21197894250,2591447,1950,2019-09-25,377,8.5,5
20148851,[],암살,Assassination,,139,"액션,드라마",15세이상관람가,최동훈,98465102781,12706341,1,2015-07-22,511,8.5,10
20155223,['웨이브'],목숨 건 연애,Life Risking Romance,,103,"멜로/로맨스,코미디",15세이상관람가,송민규,1012976600,134362,726,2016-12-14,310,5.1,3
20161725,[],마스터,Master,,142,"액션,범죄",15세이상관람가,조의석,5.27E+11,64882973,5824,2016-12-21,427,7.2,9
20151229,"['넷플릭스', '웨이브']",더 킹,The King,,134,"범죄,드라마",15세이상관람가,한재림,2.18E+11,26587926,4908,2017-01-18,449,7.5,10
20165925,[],음란 과외 - 무삭제판,,,93,멜로/로맨스,청소년관람불가,최우성,842000,165,19,2017-01-02,1,3,1
20168246,[],음란 선비 - 무삭제판,,,90,멜로/로맨스,청소년관람불가,최우성,842000,165,20,2017-01-11,0,8,1
20179001,[],미용실 : 특별한 서비스 무삭제,,,91,멜로/로맨스,청소년관람불가,이리단,593000,116,20,2017-01-25,3,5,1
20150964,"['왓챠', '넷플릭스', '웨이브']",조작된 도시,Fabricated City,,126,"범죄,액션",15세이상관람가,박광현,1.65E+11,20489362,3536,2017-02-09,634,8,8
20161366,"['왓챠', '웨이브']","그래, 가족",My Little Brother,,106,코미디,12세이상관람가,마대윤,960142400,127230,712,2017-02-15,193,7.6,3
20168668,[],레이디버그,Ladybug,,80,"애니메이션,액션,어드벤처",전체관람가,장성,808779500,106661,344,2017-02-22,76,6.7,2
20151230,"['넷플릭스', '웨이브']",원라인,ONE-LINE,,131,범죄,15세이상관람가,양경모,12078008632,1578218,1621,2017-03-29,277,7.5,5
20167905,"['왓챠', '넷플릭스', '티빙', '웨이브']",비정규직 특수요원,PART-TIME SPY,,117,"코미디,액션",15세이상관람가,김덕수,3187129600,412312,1039,2017-03-16,266,6.3,4
20172401,['웨이브'],왕을 참하라,,,115,드라마,청소년관람불가,김재수,58414700,7528,98,2017-03-16,135,6.2,2
20167902,"['왓챠', '넷플릭스', '웨이브']",보통사람,ORDINARY PERSON,,121,드라마,15세이상관람가,김봉한,10785712892,1389496,1607,2017-03-23,261,8.1,5
20161923,"['넷플릭스', '왓챠', '티빙', '웨이브']",시간위의 집,House of the Disappeared,,99,"미스터리,스릴러",15세이상관람가,임대웅,2846275700,357987,1005,2017-04-05,217,6.3,3
20151227,"['왓챠', '넷플릭스', '웨이브']",아빠는 딸,"Daddy You, Daughter Me",,114,코미디,12세이상관람가,김형협,36730600186,4686990,1983,2017-04-12,172,6.9,6
20161726,"['왓챠', '넷플릭스', '티빙', '웨이브']",임금님의 사건수첩,The King's Case Note,,114,"코미디,어드벤처,액션",12세이상관람가,문현성,80376396156,10372582,3114,2017-04-26,363,7.2,8
20173384,[],청불학원: 무삭제판,,,102,"멜로/로맨스,코미디",청소년관람불가,장항준,2353000,465,20,2017-04-10,0,6.9,7
20162871,"['왓챠', '넷플릭스', '웨이브']",특별시민,The Mayor,,130,드라마,15세이상관람가,박인제,69737707215,9044805,2928,2017-04-26,351,6.4,7
20174165,[],극장판 또봇: 로봇군단의 습격,Tobot Movie: Attack of Robot force,,81,애니메이션,전체관람가,이민재,4709338500,610360,555,2017-04-27,208,9.4,4
20173061,"['왓챠', '웨이브']",슈퍼 빼꼼: 스파이 대작전,Super White Bear: Spy Adventures,,76,"애니메이션,코미디",전체관람가,이창동,4068352700,566445,604,2017-05-03,85,7.8,6
20164844,"['왓챠', '넷플릭스', '웨이브']",불한당: 나쁜 놈들의 세상,The Merciless,,119,"범죄,액션,드라마",청소년관람불가,변성현,1.25E+11,15531930,2550,2017-05-17,508,4.3,6
20175581,"['넷플릭스', '웨이브']",파워배틀 와치카: 와치가면의 역습,Power Battle Watch-Car : Return of Watch Mask,,73,애니메이션,전체관람가,박희준,586727000,81572,459,2017-06-01,113,10,1
20169348,"['티빙', '웨이브']",대립군,WARRIORS OF THE DAWN,,129,"드라마,사극",15세이상관람가,정윤철,35541509012,4715928,2012,2017-05-31,637,7.9,6
20162343,"['넷플릭스', '웨이브']",악녀,The Villainess,,123,액션,청소년관람불가,정병길,59286171439,7326525,2792,2017-06-08,307,6.7,7
20166384,"['왓챠', '티빙']",하루,A Day,,90,스릴러,15세이상관람가,조선호,39785307316,4928343,2607,2017-06-15,377,6.7,7
20161481,"['왓챠', '넷플릭스', '티빙', '웨이브']",군함도,The Battleship Island,,132,"액션,드라마",15세이상관람가,류승완,4.81E+11,62681470,5553,2017-07-26,657,6.7,10
20162442,"['왓챠', '넷플릭스', '티빙', '웨이브']",청년경찰,Midnight Runners,,108,액션,15세이상관람가,김주환,3.48E+11,44284244,5167,2017-08-09,279,6.8,9
20180442,"['넷플릭스', '왓챠', '웨이브']",사자,The Divine Fury,,128,"미스터리,액션,판타지,공포(호러)",15세이상관람가,김주환,60286259985,7531305,3211,2019-07-31,585,7,9
20151003,"['넷플릭스', '웨이브']",장산범,The Mimic,,99,"미스터리,스릴러",15세이상관람가,허정,55409389625,6980588,2321,2017-08-17,497,5.9,7
20179407,"['왓챠', '티빙', '웨이브']",로마의 휴일,,,107,"코미디,드라마",15세이상관람가,이덕희,3825940804,517188,911,2017-08-30,201,6.3,3
20179826,[],두 엄마,,,80,멜로/로맨스,청소년관람불가,이도시,1794000,350,20,2017-08-14,21,4,1
20171818,[],붉은 비키니 무삭제판,,,101,"멜로/로맨스,드라마",청소년관람불가,최무연,1853000,360,20,2017-08-21,0,5.6,1
20173202,"['넷플릭스', '왓챠', '티빙', '웨이브']",버닝,BURNING,,147,미스터리,청소년관람불가,최무연,25124388088,2807059,2238,2018-05-17,266,6.9,1
20154909,"['왓챠', '넷플릭스', '티빙', '웨이브']",살인자의 기억법,MEMOIR OF A MURDERER,,118,"범죄,스릴러",15세이상관람가,원신연,1.32E+11,16323337,4045,2017-09-06,333,7,10
20184462,"['넷플릭스', '왓챠', '티빙', '웨이브']",봉오동 전투,The Battle: Roar to Victory,,134,"사극,액션,드라마",15세이상관람가,원신연,2.51E+11,29528820,5611,2019-08-07,711,8.8,10
20170444,[],원정여행,,,75,멜로/로맨스,청소년관람불가,국만중,937000,177,20,2017-08-31,18,3.4,1
20172964,"['왓챠', '웨이브']",이웃집 스타,Star Nextdoor,,98,코미디,12세이상관람가,임아론,222173900,30335,473,2017-09-21,161,5.6,3
20172742,"['티빙', '웨이브']",범죄도시,THE OUTLAWS,,121,"범죄,액션",청소년관람불가,강윤성,5.23E+11,63704847,7106,2017-10-03,305,8.3,9
20198453,"['왓챠', '웨이브']",롱 리브 더 킹: 목포 영웅,Long Live the King,,117,"액션,드라마",15세이상관람가,강윤성,51520102580,6081686,2662,2019-06-19,428,7.6,9
20165450,"['왓챠', '넷플릭스', '티빙', '웨이브']",남한산성,The Fortress,,140,"사극,드라마",15세이상관람가,황동혁,2.1E+11,25768715,3833,2017-10-03,624,7.4,9
20171817,[],넛잡 2,The Nut Job 2: Nutty by Nature,,91,"애니메이션,어드벤처,코미디,가족",전체관람가,캘런 브런커,19576625700,2614240,1571,2017-10-03,106,8.5,5
20172603,"['왓챠', '넷플릭스', '티빙', '웨이브']",부라더,The Bros,,102,코미디,12세이상관람가,장유정,63239702326,7972649,3101,2017-11-02,185,6.7,7
20154907,"['왓챠', '넷플릭스', '티빙', '웨이브']",희생부활자,RV: Resurrected Victims,,91,"미스터리,스릴러",15세이상관람가,곽경택,6914275405,881581,1684,2017-10-12,305,5.6,8
20164424,[],대장 김창수,MAN OF WILL,,114,드라마,12세이상관람가,이원태,7656068045,999768,1733,2017-10-19,432,8.7,8
20188941,"['넷플릭스', '티빙', '웨이브']",악인전,"The Gangster, The Cop, The Devil",,109,"범죄,액션",청소년관람불가,이원태,2.41E+11,27697193,4450,2019-05-15,434,7.4,8
20175441,"['왓챠', '티빙', '웨이브']",채비,The Preparation,,114,드라마,12세이상관람가,강형철,7583790348,1052533,1284,2017-11-09,209,8.9,7
20169643,"['왓챠', '넷플릭스', '티빙', '웨이브']",침묵,Heart Blackened,,125,드라마,15세이상관람가,정지우,14056209556,1758844,1695,2017-11-02,334,7,6
20181416,"['넷플릭스', '티빙', '웨이브']",유열의 음악앨범,Tune in for Love,,122,"멜로/로맨스,드라마",12세이상관람가,정지우,45272395560,5524261,3336,2019-08-28,426,7.1,6
20173903,[],역모-반란의 시대,The Age of Blood,,102,"사극,액션",15세이상관람가,김현석,804908000,110032,672,2017-11-23,168,3.5,9
20161681,"['왓챠', '넷플릭스', '웨이브']",미옥,A Special Lady,,90,"범죄,액션",청소년관람불가,이안규,11090020084,1390227,1292,2017-11-09,457,4.4,3
20168754,"['왓챠', '티빙', '웨이브']",7호실,Room No.7,,100,코미디,15세이상관람가,이용승,10028558454,1297652,1409,2017-11-15,207,6,5
20165748,"['왓챠', '넷플릭스', '티빙', '웨이브']",꾼,The Swindlers,,116,범죄,15세이상관람가,장창원,1.91E+11,24487011,4979,2017-11-22,470,6.7,10
20161762,"['넷플릭스', '웨이브']",반드시 잡는다,The Chase,,110,스릴러,15세이상관람가,김홍선,11887123788,1588578,1559,2017-11-29,279,6.8,2
20173865,['웨이브'],데자뷰,DEJA VU,,86,"미스터리,스릴러",15세이상관람가,김홍선,1038417100,138777,950,2018-05-30,170,3.4,2
20184543,"['왓챠', '넷플릭스', '티빙', '웨이브']",변신,Metamorphosis,,112,"공포(호러),스릴러",15세이상관람가,김홍선,65649646009,7641234,3411,2019-08-21,426,7.3,2
20173581,"['넷플릭스', '티빙', '웨이브']",기억의 밤,Forgotten,,108,"미스터리,스릴러",15세이상관람가,송창용,65895230685,8575174,2750,2017-11-29,338,7.8,2
20170402,"['넷플릭스', '티빙', '웨이브']",강철비,Steel Rain,,139,"액션,드라마",15세이상관람가,양우석,2.12E+11,26503971,4991,2017-12-14,595,8.5,9
20170590,"['왓챠', '넷플릭스', '티빙', '웨이브']",1987,1987: When the Day Comes,,129,드라마,15세이상관람가,장준환,4.96E+11,61623785,6625,2017-12-27,668,9.5,8
20175830,"['왓챠', '티빙', '웨이브']",돌아와요 부산항애(愛),BROTHERS IN HEAVEN,,114,"범죄,액션,드라마",15세이상관람가,최성현,99223800,12432,101,2018-01-17,118,4.6,7
20168161,"['티빙', '웨이브']",1급기밀,The Discloser,,100,드라마,12세이상관람가,홍기선,4866188300,609685,1159,2018-01-24,262,8.9,1
20179205,"['넷플릭스', '왓챠', '웨이브']",조선명탐정: 흡혈괴마의 비밀,Detective K: Secret of the Living Dead,,119,"사극,어드벤처,코미디",12세이상관람가,김석윤,84114829140,10342911,3880,2018-02-08,446,6.6,8
