순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
50,청연,2005-12-29,0,0.0%,"259,953",49,한국,한국,코리아픽쳐스(주)
51,레드 아이,2005-02-18,0,0.0%,"242,842",22,한국,한국,영화사청어람(주)
52,"소년, 천국에 가다",2005-11-11,0,0.0%,"242,053",50,한국,한국,"(주)쇼박스,영화사청어람(주)"
53,엄마,2005-04-07,0,0.0%,"197,793",29,한국,한국,영화사청어람(주)
54,첼로-홍미주 일가 살인사건,2005-08-18,0,0.0%,"197,678",33,한국,한국,(주)튜브엔터테인먼트
55,사랑니,2005-09-29,0,0.0%,"165,538",45,한국,한국,(주)시네마서비스
57,애인,2005-12-08,0,0.0%,"122,780",31,한국,한국,(주)쇼박스
58,왕후 심청,2005-08-11,0,0.0%,"75,957",12,한국,한국,(주)영화사한결
59,태풍태양,2005-06-02,0,0.0%,"55,970",30,한국,한국,쇼이스트(주)
60,그리스 로마신화 - 올림포스 가디언 - 기간테스 대역습,2005-07-28,0,0.0%,"27,830",14,한국,한국,"(주)스폰지이엔티,스폰지"
61,종려나무 숲,2005-09-15,0,0.0%,"22,895",5,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
62,연애,2005-12-09,0,0.0%,"18,383",3,한국,한국,CJ ENM
63,러브토크,2005-11-11,0,0.0%,"15,719",15,한국,한국,CJ ENM
64,바리바리 짱,2005-08-19,0,0.0%,"12,417",6,한국,한국,CJ ENM
65,용서받지 못한 자,2005-11-18,0,0.0%,"10,647",7,한국,한국,영화사청어람(주)
66,한길수,2005-09-23,0,0.0%,"10,000",3,한국,한국,미디어라인코리아
67,초승달과 밤배,2005-08-25,0,0.0%,"3,735",3,한국,한국,엔넷커뮤니케이션(주)
68,가능한 변화들,2005-03-18,0,0.0%,"2,467",3,한국,한국,(주)무비넷
69,활,2005-05-12,0,0.0%,"1,398",1,한국,한국,
70,나는 나를 파괴할 권리가 있다,2005-04-15,0,0.0%,"1,271",2,한국,한국,무비즈엔터테인먼트㈜
71,목두기 비디오,2005-07-15,0,0.0%,984,1,한국,한국,(주)동숭아트센터
72,동백꽃,2005-09-16,0,0.0%,744,3,한국,한국,㈜인디스토리
73,프락치,2005-05-20,0,0.0%,372,2,한국,한국,CJ ENM
74,빛나는 거짓,2005-09-16,0,0.0%,251,1,한국,한국,㈜인디스토리
1,괴물,2006-07-27,0,0.0%,"13,019,740",167,한국,한국,(주)쇼박스
3,타짜,2006-09-28,0,0.0%,"6,847,777",147,한국,한국,CJ ENM
4,투사부일체,2006-01-19,0,0.0%,"6,105,431",93,한국,한국,CJ ENM
5,한반도,2006-07-13,0,0.0%,"3,880,308",126,한국,한국,CJ ENM
6,미녀는 괴로워,2006-12-14,0,0.0%,"3,561,866",93,한국,한국,(주)쇼박스
7,가문의 부활 - 가문의 영광3,2006-09-21,0,0.0%,"3,464,516",114,한국,한국,(주)쇼박스
8,우리들의 행복한 시간,2006-09-14,0,0.0%,"3,132,320",118,한국,한국,(주)프라임엔터테인먼트
9,음란서생,2006-02-23,0,0.0%,"2,576,022",84,한국,한국,CJ ENM
10,맨발의 기봉이,2006-04-26,0,0.0%,"2,347,311",71,한국,한국,(주)쇼박스
11,"달콤, 살벌한 연인",2006-04-06,0,0.0%,"2,286,745",60,한국,한국,CJ ENM
12,사생결단,2006-04-27,0,0.0%,"2,104,716",78,한국,한국,(주)씨제이이엔엠
13,청춘만화,2006-03-23,0,0.0%,"2,066,354",86,한국,한국,(주)쇼박스
14,비열한 거리,2006-06-15,0,0.0%,"2,047,808",82,한국,한국,CJ ENM
15,라디오 스타,2006-09-28,0,0.0%,"1,879,501",72,한국,한국,(주)시네마서비스
16,구세주,2006-02-16,0,0.0%,"1,858,668",54,한국,한국,쇼이스트(주)
17,흡혈형사 나도열,2006-02-09,0,0.0%,"1,824,822",70,한국,한국,(주)쇼박스
18,거룩한 계보,2006-10-19,0,0.0%,"1,744,677",94,한국,한국,CJ ENM
19,해바라기,2006-11-23,0,0.0%,"1,543,429",64,한국,한국,(주)쇼박스
20,홀리데이,2006-01-19,0,0.0%,"1,458,896",42,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
21,각설탕,2006-08-10,0,0.0%,"1,446,820",65,한국,한국,CJ ENM
22,중천,2006-12-21,0,0.0%,"1,333,630",87,한국,"한국,중국",CJ ENM
23,싸움의 기술,2006-01-05,0,0.0%,"1,313,727",54,한국,한국,CJ ENM
24,짝패,2006-05-25,0,0.0%,"1,196,520",50,한국,한국,CJ ENM
25,아랑,2006-06-28,0,0.0%,"1,122,399",46,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
26,마음이...,2006-10-26,0,0.0%,"1,042,166",66,한국,한국,(주)쇼박스
27,데이지,2006-03-09,0,0.0%,"1,023,096",90,한국,"한국,네덜란드,홍콩",(주)쇼박스
28,야수,2006-01-12,0,0.0%,"1,016,152",87,한국,한국,(주)쇼박스
29,예의없는 것들,2006-08-24,0,0.0%,"904,802",52,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
30,방과후 옥상,2006-03-16,0,0.0%,"891,417",44,한국,한국,(주)시네마서비스
31,싸이보그지만 괜찮아,2006-12-07,0,0.0%,"737,165",72,한국,한국,CJ ENM
32,Mr.로빈 꼬시기,2006-12-07,0,0.0%,"730,443",69,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
33,가을로,2006-10-26,0,0.0%,"707,820",69,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
34,여교수의 은밀한 매력,2006-03-16,0,0.0%,"691,735",64,한국,한국,(주)엠케이픽처스
35,천하장사 마돈나,2006-08-31,0,0.0%,"678,930",48,한국,한국,CJ ENM
37,"연애, 그 참을 수 없는 가벼움",2006-09-07,0,0.0%,"668,104",55,한국,한국,CJ ENM
38,신데렐라,2006-08-17,0,0.0%,"659,122",45,한국,한국,(주)쇼박스
39,조폭마누라3,2006-12-28,0,0.0%,"650,617",71,한국,"한국,홍콩",(주)쇼박스
40,아파트,2006-07-06,0,0.0%,"644,893",58,한국,한국,(주)쇼박스
41,백만장자의 첫사랑,2006-02-09,0,0.0%,"639,596",53,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
42,스승의 은혜,2006-08-03,0,0.0%,"629,452",36,한국,한국,쇼이스트(주)
43,애정결핍이 두 남자에게 미치는 영향,2006-11-16,0,0.0%,"593,277",51,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
44,열혈남아,2006-11-09,0,0.0%,"570,059",58,한국,한국,CJ ENM
45,다세포소녀,2006-08-10,0,0.0%,"561,803",50,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
46,올드미스다이어리,2006-12-21,0,0.0%,"557,272",39,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
47,사랑 따윈 필요 없어,2006-11-09,0,0.0%,"548,998",75,한국,한국,(주)쇼박스
48,호로비츠를 위하여,2006-05-25,0,0.0%,"544,656",55,한국,한국,(주)쇼박스
49,사랑을 놓치다,2006-01-26,0,0.0%,"529,138",44,한국,한국,(주)시네마서비스
50,아이스케키,2006-08-24,0,0.0%,"516,492",47,한국,한국,(주)엠케이픽처스
51,플라이 대디,2006-08-03,0,0.0%,"510,604",61,한국,한국,"(주)시네마서비스,CJ ENM"
52,원탁의 천사,2006-08-24,0,0.0%,"508,285",48,한국,한국,(주)쇼박스
53,누가 그녀와 잤을까?,2006-11-16,0,0.0%,"434,877",49,한국,한국,CJ ENM
54,잔혹한 출근,2006-11-02,0,0.0%,"429,546",59,한국,한국,CJ ENM
55,로망스,2006-03-16,0,0.0%,"424,514",47,한국,한국,CJ ENM
56,뚝방전설,2006-09-07,0,0.0%,"418,445",46,한국,한국,(주)쇼박스
57,도마뱀,2006-04-27,0,0.0%,"397,913",71,한국,한국,(주)시네마서비스
58,모노폴리,2006-06-01,0,0.0%,"394,935",28,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
60,강적,2006-06-22,0,0.0%,"361,155",60,한국,한국,(주)쇼박스
61,그해 여름,2006-11-30,0,0.0%,"336,065",55,한국,한국,(주)쇼박스
63,잘 살아보세,2006-09-28,0,0.0%,"275,739",42,한국,한국,
64,"두뇌유희프로젝트, 퍼즐",2006-09-14,0,0.0%,"270,779",49,한국,한국,(주)시네마서비스
65,파이스토리,2006-07-06,0,0.0%,"267,588",29,한국,"한국,미국",CJ ENM
66,"생, 날선생",2006-05-25,0,0.0%,"264,525",39,한국,한국,(주)시네마서비스
67,"사랑하니까, 괜찮아",2006-08-17,0,0.0%,"254,887",42,한국,한국,(주)시네마서비스
68,국경의 남쪽,2006-05-04,0,0.0%,"252,457",59,한국,한국,CJ ENM
69,사랑할 때 이야기하는 것들,2006-11-30,0,0.0%,"216,876",46,한국,한국,(주)시네마서비스
70,구미호 가족,2006-09-28,0,0.0%,"202,990",40,한국,한국,(주)엠케이픽처스
71,공필두,2006-05-11,0,0.0%,"191,061",39,한국,한국,(주)쇼박스
72,조용한 세상,2006-12-14,0,0.0%,"178,434",37,한국,한국,(주)프라임엔터테인먼트
73,손님은 왕이다,2006-02-23,0,0.0%,"172,693",43,한국,한국,(주)시네마서비스
