moviecode,ott,title,title_en,title_ori,showTm,genre,grade,peopleNm,sale,audi,screen,openDt,staff_cnt,평점
20142621,"['왓챠', '넷플릭스', '티빙']",시간이탈자,Time Renegades,,107,스릴러,15세이상관람가,곽재용,40817381680,5017357,2690,2016-04-13,380,6.8
20140194,[],곡성,THE WAILING,,156,"미스터리,스릴러,드라마",15세이상관람가,나홍진,5.42E+11,66710331,6574,2016-05-12,382,7.3
20110020,[],이조 여인잔혹사,Women of Yi-Dynasty,,96,기타,,신상옥,6359000,3177,1,1969-05-02,0,8.8
20142406,"['왓챠', '넷플릭스', '웨이브']",탐정 홍길동: 사라진 마을,The Phantom Detective,,125,"드라마,액션",15세이상관람가,조성희,73517789497,9100398,2522,2016-05-04,546,7.5
20156559,"['왓챠', '티빙']",계춘할망,Canola,,116,"가족,드라마",15세이상관람가,창,25968646784,3453851,1771,2016-05-19,204,8.6
20162704,"['넷플릭스', '왓챠', '웨이브']",극장판 안녕 자두야,Hello Jadoo,,75,애니메이션,전체관람가,손석우,10032181200,1312922,1005,2016-05-04,114,6.9
20143509,['웨이브'],엽기적인 그녀 2,My New Sassy Girl,,99,"멜로/로맨스,코미디",15세이상관람가,조근식,2181095500,280346,815,2016-05-12,244,3.2
20159645,['웨이브'],특별수사: 사형수의 편지,Proof of Innocence,,120,"범죄,드라마",15세이상관람가,권종관,42597867144,5301294,2493,2016-06-16,248,7.6
20164001,[],착한 여비서의 목적,,,70,멜로/로맨스,청소년관람불가,김효재,2879000,559,20,2016-05-20,29,3
20144444,"['왓챠', '넷플릭스', '티빙', '웨이브']",아가씨,The Handmaiden,,144,"스릴러,드라마",청소년관람불가,박찬욱,3.86E+11,46923170,4756,2016-06-01,434,6.8
20158242,[],무서운 이야기 3 : 화성에서 온 소녀,Horror Stories III,,93,공포(호러),15세이상관람가,"민규동,김선,백승빈,김곡",2129517700,265502,680,2016-06-01,164,3.4
20150972,"['왓챠', '넷플릭스', '웨이브']",굿바이 싱글,Familyhood,,119,"코미디,드라마",15세이상관람가,김태곤,72056046075,8959526,2951,2016-06-29,226,7.5
19700035,[],미워도 다시 한번 3,Farewell My Love (Part Three),,91,"드라마,멜로/로맨스",12세이상관람가,정소영,9322000,4661,3,1970-01-01,0,6.2
20140704,"['왓챠', '넷플릭스', '티빙', '웨이브']",비밀은 없다,The Truth Beneath,,102,스릴러,청소년관람불가,이경미,11664474534,1437584,1095,2016-06-23,259,7.2
20125428,[],어느 여대생의 고백,A College Woman's Confess,,100,,,신상옥,3164000,1584,1, ,0,5.5
20159644,"['왓챠', '넷플릭스', '웨이브']",봉이 김선달,Seondal: The Man who Sells the River,,120,사극,12세이상관람가,박대민,1.04E+11,13063327,2900,2016-07-06,336,6.7
20154906,[],사냥,The Hunt,,92,액션,15세이상관람가,이우철,18725001960,2462944,1590,2016-06-29,289,4
20165801,[],젊은엄마 : 디 오리지널,,,84,멜로/로맨스,청소년관람불가,정도수,2670000,516,20,2016-06-23,33,6.9
19800019,['왓챠'],너는 내 운명,You Are My Destiny,,95,"드라마,멜로/로맨스",연소자관람불가,정소영,1312000,656,1,1980-03-28,5,8.9
20165042,['웨이브'],빅뱅 메이드,BIGBANG MADE,,114,다큐멘터리,12세이상관람가,변진호,2469196900,293461,203,2016-06-30,104,8.9
20112773,[],백사부인,Madam white snake,,100,"사극,공포(호러),멜로/로맨스",,신상옥,6758000,3379,2,1960-10-02,0,8.3
20158982,['왓챠'],트릭,Trick,,94,"스릴러,드라마",15세이상관람가,이창열,834064100,107125,733,2016-07-13,124,6.3
20156564,"['넷플릭스', '웨이브']",부산행,TRAIN TO BUSAN,,118,"액션,스릴러",15세이상관람가,연상호,1.03E+12,127121333,7142,2016-07-20,484,7.3
20156250,"['왓챠', '넷플릭스', '티빙', '웨이브']",인천상륙작전,Operation Chromite,,110,"전쟁,드라마",12세이상관람가,이재한,4.38E+11,55997943,4607,2016-07-27,658,5.6
20150968,[],국가대표 2,RUN OFF,,125,드라마,12세이상관람가,김종현,30235046752,3899658,1642,2016-08-10,357,8
20150979,"['왓챠', '티빙', '웨이브']",덕혜옹주,The Last Princess,,126,"사극,드라마",12세이상관람가,허진호,5.22E+11,65671599,4761,2016-08-03,462,7.3
20154910,[],터널,Tunnel,,126,드라마,12세이상관람가,김성훈,3.42E+11,42221217,5002,2016-08-10,369,7.2
20080893,[],렌의 애가,Len'S Sonata,,103,드라마,15세이상관람가,김기영,3548000,1774,2,1969-01-01,5,6
20165381,[],탐정사무소-평강공주와 바보온달 무삭제판,,,71,"스릴러,드라마",청소년관람불가,이동현,1728000,292,20,2016-06-15,17,1
20167541,[],색다른 정사,,,59,"멜로/로맨스,드라마",청소년관람불가,이재남,933000,177,20,2016-08-04,13,
20167643,[],죽은 자와 산 자,The Dead and the Alive,,106,드라마,,이강천,884000,442,1, ,0,5
20166542,[],태양은늙지않는다,The Sun Never Gets Old,,110,드라마,,고영남,2662000,1326,2, ,0,5.3
20152105,[],"시발, 놈: 인류의 시작",Super Origin,,71,"코미디,드라마",15세이상관람가,백승기,6370200,827,13,2016-08-18,42,4.7
20159648,"['왓챠', '넷플릭스', '티빙', '웨이브']","고산자, 대동여지도",The Map Against the World,,129,사극,전체관람가,강우석,40360787887,5028184,2282,2016-09-07,514,7.3
20150901,"['넷플릭스', '티빙', '웨이브']",올레,DETOUR,,103,"드라마,코미디",15세이상관람가,채두병,1453161700,184281,704,2016-08-25,203,6.9
20166163,[],마포사는 황부자,"Hwang, Man of Wealth at Mapo",,111,드라마,,이봉래,4439000,2217,2, ,0,7
20159646,"['왓챠', '웨이브']",밀정,The Age of Shadows,,139,액션,15세이상관람가,김지운,4.29E+11,52394697,6109,2016-09-07,444,7.7
20166541,['웨이브'],달빛궁궐,Lost in the moonlight,,80,"애니메이션,판타지,어드벤처",전체관람가,김현주,8380158800,1111071,924,2016-09-07,243,5.8
19580069,"['넷플릭스', '왓챠', '티빙', '웨이브']",돈,The Money,,123,"드라마,범죄",,김소동,1.78E+11,20863414,5890,1950-03-09,1,6.8
19750155,[],협객 김두한,"Righteous Fighter, Kim Du-Han",,95,액션,15세이상관람가,김효천,8814000,4402,2,1975-06-05,0,7
20160041,[],인천상륙작전 : 익스텐디드 에디션(확장판),Operation Chromite,,140,"전쟁,드라마",15세이상관람가,이재한,638755100,77892,237,2016-09-13,6,9.14
20030046,"['왓챠', '넷플릭스', '티빙', '웨이브']",살인의 추억,Memories of Murder,,127,스릴러,15세관람가,봉준호,99196888,15428,50,2003-04-25,150,9.4
20162022,[],대결,Duel:The Final Round,,97,액션,15세이상관람가,신동엽,908862500,117092,712,2016-09-22,206,5.2
20153443,"['왓챠', '넷플릭스', '티빙', '웨이브']",아수라,Asura : The City of Madness,,132,"범죄,액션",청소년관람불가,김성수,1.16E+11,14636637,3524,2016-09-28,496,6.8
19678075,[],원점,The Starting Point,,97,"액션,멜로/로맨스",,이만희,2228000,1114,1, ,0,3
20153444,[],럭키,LUCK-KEY,,112,코미디,15세이상관람가,이계벽,3.75E+11,46200810,6757,2016-10-13,409,7
20160761,['왓챠'],돈 맛,Taste of Money,,89,멜로/로맨스,청소년관람불가,"홍수동,백수호",8439000,1733,50,2016-09-29,16,6.83
20080690,"['왓챠', '티빙', '웨이브']",적도의 꽃,The Flower on the Equator,,104,드라마,,배창호,2200000,942,1,1983-10-29,0,3.8
20161082,[],진시황제와 만리장성,Qin Shu Huangdi and the Great Wall of China,,163,드라마,,권영순,330000,165,1, ,0,4
20160510,[],엄마의 남자,,,80,드라마,청소년관람불가,서원,809000,159,20, ,1,8.28
20151022,"['왓챠', '티빙', '웨이브']",걷기왕,Queen of Walking,,92,드라마,12세이상관람가,백승화,4607459625,610342,1056,2016-10-20,209,6.9
19628028,[],와룡선생 상경기,Teacher Waryong's Trip to Seoul,,121,코미디,,김용덕,5518000,1489,1, ,0,8.5
19800040,[],미워도 다시 한번 '80,Love Me Once Again Despite Hatred '80,,90,"드라마,멜로/로맨스",국민학생관람불가,변장호,8338000,4169,3,1980-06-21,5,4.5
20150966,"['넷플릭스', '웨이브']",사랑하기 때문에,BECAUSE I LOVE YOU,,110,"코미디,멜로/로맨스",12세이상관람가,주지홍,12852605000,1630347,1364,2017-01-04,243,7.8
20150564,"['왓챠', '티빙']",혼숨,HIDE-AND-NEVER SEEK,,88,공포(호러),15세이상관람가,이두환,8066325811,1030022,1289,2016-10-26,208,6.2
20108894,[],철낭자,The iron lady,,87,액션,15세이상관람가,고보수,1517000,756,1,1971-04-30,1,7
20163521,"['왓챠', '티빙', '웨이브']",스플릿,SPLIT,,121,드라마,15세이상관람가,최국희,27373397086,3382319,2177,2016-11-09,223,7.6
20112212,['왓챠'],만추,Late Fall,,95,"드라마,멜로/로맨스",연소자관람불가,김수용,2855000,1239,1,1982-02-28,10,7.2
20154905,"['넷플릭스', '왓챠', '웨이브']",가려진 시간,VANISHING TIME: A BOY WHO RETURNED,,129,"드라마,판타지",12세이상관람가,엄태화,26524658267,3420930,2097,2016-11-16,419,7.6
19730092,[],대결투,The Great Duel,,75,액션,15세이상관람가,장철,1643000,819,1,1973-02-23,1,
20154661,"['왓챠', '넷플릭스', '티빙', '웨이브']",형,MY ANNOYING BROTHER,,109,"코미디,드라마",12세이상관람가,권수경,1.61E+11,20753583,3915,2016-11-23,321,7.3
20148846,"['넷플릭스', '왓챠', '티빙', '웨이브']",사도,The Throne,,125,사극,12세이상관람가,이준익,48845771501,6247607,1,2015-09-16,345,7.9
19660041,[],물레방아,A Water Mill,,92,멜로/로맨스,12세이상관람가,이만희,2010000,1005,3,1966-11-10,7,9
20163107,[],아더왕의 전설,LA LEGENDE DU ROI ARTHUR,,127,"공연,뮤지컬",전체관람가,정성복,7473500,493,5,2016-11-09,0,8.93
20144641,['웨이브'],판도라,Pandora,,135,"드라마,스릴러",12세이상관람가,박정우,2.83E+11,35797043,5096,2016-12-07,636, 
20153741,"['넷플릭스', '웨이브']",미씽: 사라진 여자,MISSING,,99,미스터리,15세이상관람가,이언희,40149620085,5205783,2330,2016-11-30,272,7.6
20160472,"['왓챠', '티빙', '웨이브']",두 남자,Derailed,,91,"범죄,액션",청소년관람불가,이성태,1317348463,172300,769,2016-11-30,126,6.3
19720034,[],죽음의 다섯 손가락,Five Fingers of Death,,85,액션,12세이상관람가,정창화,1700000,850,1,1972-12-02,1,7.8
20148851,[],암살,Assassination,,139,"액션,드라마",15세이상관람가,최동훈,98465102781,12706341,1,2015-07-22,511,8.5
2009B123,[],생사투,A life-and-death struggle,,70,,,장철,1834000,917,1,1974-02-28,0,6
19990069,[],유령,Phantom The Submarine,,103,"액션,드라마",12세관람가,민병천,1556000,518,1,1999-07-31,26,7.3
20152371,"['왓챠', '넷플릭스', '웨이브']","당신, 거기 있어줄래요",Will You Be There?,,110,"판타지,드라마",12세이상관람가,홍지영,40928362040,5097837,2461,2016-12-14,313,8.2
20155223,['웨이브'],목숨 건 연애,Life Risking Romance,,103,"멜로/로맨스,코미디",15세이상관람가,송민규,1012976600,134362,726,2016-12-14,310,5.1
20168341,[],하얀 까마귀,The White Crow,,100,드라마,,정진우,6338000,3169,2, ,0,4.5
20161725,[],마스터,Master,,142,"액션,범죄",15세이상관람가,조의석,5.27E+11,64882973,5824,2016-12-21,427,7.2
20165504,[],무영탑,Pagoda of No Shadow,,89,드라마,,김수용,2224000,1112,1, ,0,6.7
20110875,[],눈물의 여인,A Women of Tears,,100,,,최경옥,2204000,1102,1, ,2,
19600050,[],아 백범 김구선생,Ah! Baekbeom Kim Ku,,145,사극,,전창근,2972000,1495,1, ,0,6.7
20151228,"['왓챠', '넷플릭스', '티빙', '웨이브']",공조,Confidential Assignment,,125,액션,15세이상관람가,김성훈,4.05E+11,49594953,6414,2017-01-18,426,7.2
20151229,"['넷플릭스', '웨이브']",더 킹,The King,,134,"범죄,드라마",15세이상관람가,한재림,2.18E+11,26587926,4908,2017-01-18,449,7.5
19880070,"['왓챠', '티빙', '웨이브']",칠수와 만수,Chil-Su and Man-Su,,108,드라마,고등학생이상관람가,박광수,809000,321,1,1988-11-26,9,7.8
20165925,[],음란 과외 - 무삭제판,,,93,멜로/로맨스,청소년관람불가,최우성,842000,165,19,2017-01-02,1,3
20168246,[],음란 선비 - 무삭제판,,,90,멜로/로맨스,청소년관람불가,최우성,842000,165,20,2017-01-11,0,8
20167843,[],스와핑 하던 날,,,81,멜로/로맨스,청소년관람불가,명석환,654000,125,20,2017-01-10,41,
20155700,[],왕자 호동,Prince Hodong,,121,사극,,한형모,5631000,2813,2, ,0,
20168104,[],2017 한국영화아카데미 33기 졸업영화제 - B,,,68,기타,,"배경헌,유수민,유지영",1656000,414,2, ,0,
20168088,[],2017 한국영화아카데미 33기 졸업영화제 - D,,,77,기타,,"전희욱,송주성,박지은",1656000,414,1, ,0,
20168087,[],2017 한국영화아카데미 33기 졸업영화제 - C,,,86,기타,,"한가람,박인희,김영록,손예은",1656000,414,2, ,0,
20168086,[],2017 한국영화아카데미 33기 졸업영화제 - A,,,61,기타,,"곽승민,강한별,박상훈",1656000,414,2, ,0,
20179481,['왓챠'],사랑받지 못한 여자,ANGEL IS DEAD,,87,"드라마,멜로/로맨스",청소년관람불가,노진수,2097000,327,14,2017-01-24,51,6.7
19598036,[],여사장,A Female Boss,,105,"코미디,멜로/로맨스",,한형모,3380000,1694,1, ,0,7.2
20166421,"['왓챠', '넷플릭스', '티빙', '웨이브']",재심,New Trial,,118,드라마,15세이상관람가,김태윤,1.57E+11,19666844,3620,2017-02-15,220,8.2
20179001,[],미용실 : 특별한 서비스 무삭제,,,91,멜로/로맨스,청소년관람불가,이리단,593000,116,20,2017-01-25,3,5
20150964,"['왓챠', '넷플릭스', '웨이브']",조작된 도시,Fabricated City,,126,"범죄,액션",15세이상관람가,박광현,1.65E+11,20489362,3536,2017-02-09,634,8
20156562,['왓챠'],루시드 드림,Lucid Dream,,101,"SF,스릴러",15세이상관람가,김준성,2195021700,295173,927,2017-02-22,281,6.4
19730023,['웨이브'],흑권,Heukgwon,,91,액션,12세이상관람가,황풍,824000,412,1,1973-09-09,1,6
20179694,[],맛있는 워킹걸,,,80,멜로/로맨스,청소년관람불가,화니,750000,158,20,2017-02-02,14,3.2
20161366,"['왓챠', '웨이브']","그래, 가족",My Little Brother,,106,코미디,12세이상관람가,마대윤,960142400,127230,712,2017-02-15,193,7.6
19608020,[],이 생명 다하도록,To The Death,,108,드라마,,신상옥,7574000,3782,1, ,0,5.5
20161723,"['왓챠', '웨이브']",싱글라이더,A Single Rider,,97,드라마,15세이상관람가,이주영,15341188226,2005424,1396,2017-02-22,233,7.5
20150971,"['왓챠', '넷플릭스', '티빙', '웨이브']",해빙,Bluebeard,,117,스릴러,15세이상관람가,이수연,46667815953,5659199,2439,2017-03-01,194,5.7
20168668,[],레이디버그,Ladybug,,80,"애니메이션,액션,어드벤처",전체관람가,장성,808779500,106661,344,2017-02-22,76,6.7
20151230,"['넷플릭스', '웨이브']",원라인,ONE-LINE,,131,범죄,15세이상관람가,양경모,12078008632,1578218,1621,2017-03-29,277,7.5
20162181,"['왓챠', '넷플릭스', '티빙', '웨이브']",프리즌,The Prison,,124,"범죄,액션",청소년관람불가,나현,1.69E+11,20720462,4317,2017-03-23,285,7.2
20167905,"['왓챠', '넷플릭스', '티빙', '웨이브']",비정규직 특수요원,PART-TIME SPY,,117,"코미디,액션",15세이상관람가,김덕수,3187129600,412312,1039,2017-03-16,266,6.3
20172401,['웨이브'],왕을 참하라,,,115,드라마,청소년관람불가,김재수,58414700,7528,98,2017-03-16,135,6.2
20167902,"['왓챠', '넷플릭스', '웨이브']",보통사람,ORDINARY PERSON,,121,드라마,15세이상관람가,김봉한,10785712892,1389496,1607,2017-03-23,261,8.1
20111486,[],강화도령,A Reluctant Prince,,126,"사극,멜로/로맨스",,신상옥,5850000,2925,1, ,0,10
19628013,[],인목대비,Queen Dowager Inmok,,122,사극,,안현철,11993000,6019,2, ,2,10
20167567,[],결사대작전,A Glorious Operation,,98,드라마,,고영남,1890000,945,1,1969-09-03,0,
20161923,"['넷플릭스', '왓챠', '티빙', '웨이브']",시간위의 집,House of the Disappeared,,99,"미스터리,스릴러",15세이상관람가,임대웅,2846275700,357987,1005,2017-04-05,217,6.3
20167901,[],어느날,Oneday,,113,멜로/로맨스,15세이상관람가,이윤기,6749048028,852947,1350,2017-04-05,207,7.5
20151227,"['왓챠', '넷플릭스', '웨이브']",아빠는 딸,"Daddy You, Daughter Me",,114,코미디,12세이상관람가,김형협,36730600186,4686990,1983,2017-04-12,172,6.9
20161726,"['왓챠', '넷플릭스', '티빙', '웨이브']",임금님의 사건수첩,The King's Case Note,,114,"코미디,어드벤처,액션",12세이상관람가,문현성,80376396156,10372582,3114,2017-04-26,363,7.2
20101365,[],내시,The Eunuch,,90,드라마,,신상옥,10343000,5150,1, ,0,9
20173384,[],청불학원: 무삭제판,,,102,"멜로/로맨스,코미디",청소년관람불가,장항준,2353000,465,20,2017-04-10,0,6.9
20162722,"['왓챠', '넷플릭스', '티빙', '웨이브']",보안관,The Sheriff In Town,,115,"범죄,코미디",15세이상관람가,김형주,1.74E+11,21506708,3578,2017-05-03,445,6.9
20162871,"['왓챠', '넷플릭스', '웨이브']",특별시민,The Mayor,,130,드라마,15세이상관람가,박인제,69737707215,9044805,2928,2017-04-26,351,6.4
20174165,[],극장판 또봇: 로봇군단의 습격,Tobot Movie: Attack of Robot force,,81,애니메이션,전체관람가,이민재,4709338500,610360,555,2017-04-27,208,9.4
20173061,"['왓챠', '웨이브']",슈퍼 빼꼼: 스파이 대작전,Super White Bear: Spy Adventures,,76,"애니메이션,코미디",전체관람가,이창동,4068352700,566445,604,2017-05-03,85,7.8
20156708,"['왓챠', '티빙', '웨이브']",석조저택 살인사건,The Tooth and the Nail,,108,스릴러,15세이상관람가,"김휘,정식",16447650616,2050594,1239,2017-05-09,333,7
20174325,[],콕!애니 - [섹션3] Old but New : 변주,,,77,애니메이션,,이준익,2461500,494,1, ,0,
20164844,"['왓챠', '넷플릭스', '웨이브']",불한당: 나쁜 놈들의 세상,The Merciless,,119,"범죄,액션,드라마",청소년관람불가,변성현,1.25E+11,15531930,2550,2017-05-17,508,4.3
19790004,[],12인의 하숙생,The Twelve Boarders,,100,"드라마,멜로/로맨스",국민학생관람불가,석래명,2578000,1296,1,1979-01-16,5,
19810031,"['왓챠', '티빙', '웨이브']",아가씨 참으세요,"Miss, Please Be Patient",,105,"드라마,범죄",국민학생관람불가,이형표,589000,307,1,1981-09-19,6,7.3
20174602,"['왓챠', '티빙', '웨이브']",노무현입니다,OUR PRESIDENT,,109,다큐멘터리,12세이상관람가,"윤제완,김현호",1.70E+11,21652930,3663,2017-05-25,74,9.5
20175581,"['넷플릭스', '웨이브']",파워배틀 와치카: 와치가면의 역습,Power Battle Watch-Car : Return of Watch Mask,,73,애니메이션,전체관람가,박희준,586727000,81572,459,2017-06-01,113,10
20169348,"['티빙', '웨이브']",대립군,WARRIORS OF THE DAWN,,129,"드라마,사극",15세이상관람가,정윤철,35541509012,4715928,2012,2017-05-31,637,7.9
20177223,['티빙'],청춘 합창단 - 또 하나의 꿈,,,78,다큐멘터리,전체관람가,이한욱,158755800,22022,82,2017-06-15,17,8.6
20162343,"['넷플릭스', '웨이브']",악녀,The Villainess,,123,액션,청소년관람불가,정병길,59286171439,7326525,2792,2017-06-08,307,6.7
20166384,"['왓챠', '티빙']",하루,A Day,,90,스릴러,15세이상관람가,조선호,39785307316,4928343,2607,2017-06-15,377,6.7
20178982,"['티빙', '웨이브']",박열,Anarchist from the colony,,128,드라마,12세이상관람가,이준익,1.49E+11,19386924,4031,2017-06-28,340,8
20159647,[],리얼,REAL,,137,액션,청소년관람불가,이사랑,15946284450,2222697,1941,2017-06-28,673,3.7
20100511,['웨이브'],지옥화,The Flower In Hell,,86,"멜로/로맨스,드라마,범죄",미정,신상옥,6774000,3210,1,1958-04-20,3,7.8
20177546,[],MSFF2017 사랑에 관한 짧은 필름 4,A Short Film About Love 4,,100,"멜로/로맨스,드라마",,,1659000,277,1, ,0,10
20179807,[],젝스키스 20주년 기념 하와이 영상 NEW KIES ON THE [HONOLULU],SECHSKIES THE 20TH ANNIVERSARY -NEW KIES ON THE [HONOLULU]-,,140,기타,,,40552500,4284,14, ,0,10
20162869,"['왓챠', '넷플릭스', '티빙', '웨이브']",택시운전사,A Taxi Driver,,137,드라마,15세이상관람가,장훈,1.32E+12,167776162,8624,2017-08-02,443,9.1
20161481,"['왓챠', '넷플릭스', '티빙', '웨이브']",군함도,The Battleship Island,,132,"액션,드라마",15세이상관람가,류승완,4.81E+11,62681470,5553,2017-07-26,657,6.7
20162442,"['왓챠', '넷플릭스', '티빙', '웨이브']",청년경찰,Midnight Runners,,108,액션,15세이상관람가,김주환,3.48E+11,44284244,5167,2017-08-09,279,6.8
20151003,"['넷플릭스', '웨이브']",장산범,The Mimic,,99,"미스터리,스릴러",15세이상관람가,허정,55409389625,6980588,2321,2017-08-17,497,5.9
20179983,[],단편2: 다섯 번째 계절들 [썸머프라이드시네마],,,,기타,,,1048000,150,1, ,0,10
20177533,['왓챠'],무정,Cool And Cold,,100,"멜로/로맨스,드라마",,이강천,476000,238,1, ,0,4
20179732,[],그 여자의 죄가 아니다,,,104,드라마,,신상옥,914000,457,1, ,0,4.6
20081003,"['왓챠', '넷플릭스', '티빙', '웨이브']",박쥐,Thirst,,133,"공포(호러),드라마",청소년관람불가,박찬욱,14844126500,2206616,1,2009-04-30,308,5.5
20000044,"['왓챠', '넷플릭스', '티빙', '웨이브']",공동경비구역 JSA,Joint Security Area /JSA,,110,"드라마,미스터리",15세관람가,박찬욱,7572700,1009,1,2000-09-08,26,9
20050148,"['왓챠', '넷플릭스', '티빙', '웨이브']",친절한 금자씨,Sympathy for Lady Vengeance,,112,스릴러,18세관람가,박찬욱,20489473593,3120481,1,2005-07-29,187,7.4
