,title,moviecode,openDt
1337,신비아파트: 금빛 도깨비와 비밀의 동굴,20185242,2018-07-25
1339,자유만세,19460021,1946-10-21
1344,신과함께-인과 연,20186202,2018-08-01
1347,해적왕 작스톰,20187682,2018-07-25
1349,극장판 헬로카봇 : 백악기 시대,20186501,2018-08-01
1355,공작,20179101,2018-08-08
1356,너의 결혼식,20153446,2018-08-22
1364,목격자,20170670,2018-08-15
1385,상류사회,20177537,2018-08-29
1388,꽃찌: 독이 있는 사랑,20189161,2018-08-23
1396,미친도시,20188501,2018-08-30
1398,물괴,20156554,2018-09-12
1409,협상,20177308,2018-09-19
1415,안시성,20176122,2018-09-19
1418,명당,20172204,2018-09-19
1419,암수살인,20179189,2018-10-03
1425,극장판 뽀잉: 슈퍼 변신의 비밀,20189746,2018-09-20
1427,원더풀 고스트,20167903,2018-09-26
1445,미쓰백,20189067,2018-10-11
1456,배반의 장미,20184678,2018-10-18
1465,창궐,20174981,2018-10-25
1467,완벽한 타인,20177538,2018-10-31
1478,동네사람들,20170513,2018-11-07
1489,여곡성,20179006,2018-11-08
1496,성난황소,20184481,2018-11-22
1497,해피 투게더,20189869,2018-11-15
1499,도어락,20179230,2018-12-05
1501,번 더 스테이지: 더 무비,20183050,2018-11-15
1509,로맨스그레이,20101125, 
1514,국가부도의 날,20177552,2018-11-28
1526,내안의 그놈,20176251,2019-01-09
1527,초대받은 사람들,20081146,1981-10-24
1528,번개맨의 비밀,20183650,2018-12-06
1529,런닝맨 : 풀룰루의 역습,20183745,2018-12-05
1536,스윙키즈,20175547,2018-12-19
1537,트와이스랜드,20184529,2018-12-07
1539,리벤져,20182981,2018-12-06
1547,마약왕,20168773,2018-12-19
1554,말모이,20184105,2019-01-09
1555,PMC: 더 벙커,20170658,2018-12-26
1559,점박이 한반도의 공룡2 : 새로운 낙원,20183785,2018-12-25
1569,그대 이름은 장미,20166602,2019-01-16
1573,언니,20184187,2019-01-01
1579,언더독,20186324,2019-01-16
1582,극장판 공룡메카드: 타이니소어의 섬,20183915,2019-01-10
1595,극한직업,20182530,2019-01-23
1603,러브 유어셀프 인 서울,20185124,2019-01-26
1607,뺑반,20180868,2019-01-30
1608,증인,20185881,2019-02-13
1609,기묘한 가족,20174169,2019-02-13
1612,극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,2019-01-31
1636,사바하,20177539,2019-02-20
1647,자전차왕 엄복동,20176442,2019-02-27
1659,육체의 약속,19750082,1975-07-26
1665,우상,20175407,2019-03-20
1668,생일,20183096,2019-04-03
1669,가슴 큰 여자친구,20198465,2019-03-08
1676,악질경찰,20197846,2019-03-20
1677,산딸기,19820063,1982-09-04
1678,썬키스 패밀리,20166301,2019-03-27
1679,2019 한국영화아카데미 35기 졸업영화제 개막작,20198005, 
1699,산딸기 2,19850005,1985-02-02
1705,미성년,20180825,2019-04-11
1713,나의 특별한 형제,20185784,2019-05-01
1714,크게 될 놈,20198982,2019-04-18
1715,왓칭,20182501,2019-04-17
1717,뽀로로 극장판 보물섬 대모험,20198183,2019-04-25
1718,내 엄마의 친구 2,20198633,2019-04-12
1729,어린 의뢰인,20199448,2019-05-22
1739,악인전,20188941,2019-05-15
1745,걸캅스,20184082,2019-05-09
1747,배심원들,20187981,2019-05-15
1779,마더,20090248,2009-05-28
1780,기생충,20183782,2019-05-30
1782,0.0MHz,20188144,2019-05-29
1788,롱 리브 더 킹: 목포 영웅,20198453,2019-06-19
1805,노리개: 그녀의 눈물,20191744,2019-06-13
1813,비스트,20182585,2019-06-26
1818,삼일천하,19730002,1973-02-15
1819,꿈,20162844,1955-01-16
1823,BIFAN2019 판타스틱 단편 걸작선 1,20192591, 
1829,착한 엄마: 아버지의 여자를 탐하다,20192158,2019-06-24
1834,기방도령,20185353,2019-07-10
1836,나랏말싸미,20182490,2019-07-24
1837,MSFF2019 폐막작(폐막식용),20192444, 
1838,귀신의 향기,20180361,2019-07-03
1839,MSFF2019 비정성시 1,20192218, 
1842,진범,20185986,2019-07-10
1844,레드슈즈,20198323,2019-07-25
1846,극장판 샤이닝스타:새로운 루나퀸의 탄생!,20193013,2019-07-18
1848,암전,20188404,2019-08-15
1855,엑시트,20184621,2019-07-31
1863,사자,20180442,2019-07-31
1868,공포체험단 곤지암편,20194044,2019-07-19
1875,봉오동 전투,20184462,2019-08-07
1883,브링 더 소울 : 더 무비,20193275,2019-08-07
1885,캐리tv 러브콘서트 더 무비,20193642,2019-08-07
1896,변신,20184543,2019-08-21
1898,광대들: 풍문조작단,20185985,2019-08-21
1906,유열의 음악앨범,20181416,2019-08-28
