title,showTm,grade,peopleNm,sale,audi,screen,staff_cnt,star_grade,direc_grade,ott_num,month
채비,114,12세이상관람가,강형철,7583790348,1052533,1284,209,8.9,7,3,11
침묵,125,15세이상관람가,정지우,14056209556,1758844,1695,334,7,6,4,11
유열의 음악앨범,122,12세이상관람가,정지우,45272395560,5524261,3336,426,7.1,6,3,8
역모-반란의 시대,102,15세이상관람가,김현석,804908000,110032,672,168,3.5,9,1,11
미옥,90,청소년관람불가,이안규,11090020084,1390227,1292,457,4.4,3,3,11
7호실,100,15세이상관람가,이용승,10028558454,1297652,1409,207,6,5,3,11
꾼,116,15세이상관람가,장창원,1.91E+11,24487011,4979,470,6.7,10,4,11
반드시 잡는다,110,15세이상관람가,김홍선,11887123788,1588578,1559,279,6.8,2,2,11
데자뷰,86,15세이상관람가,김홍선,1038417100,138777,950,170,3.4,2,1,5
변신,112,15세이상관람가,김홍선,65649646009,7641234,3411,426,7.3,2,4,8
기억의 밤,108,15세이상관람가,송창용,65895230685,8575174,2750,338,7.8,2,3,11
강철비,139,15세이상관람가,양우석,2.12E+11,26503971,4991,595,8.5,9,3,12
1987,129,15세이상관람가,장준환,4.96E+11,61623785,6625,668,9.5,8,4,12
돌아와요 부산항애(愛),114,15세이상관람가,최성현,99223800,12432,101,118,4.6,7,3,1
1급기밀,100,12세이상관람가,홍기선,4866188300,609685,1159,262,8.9,1,2,1
조선명탐정: 흡혈괴마의 비밀,119,12세이상관람가,김석윤,84114829140,10342911,3880,446,6.6,8,3,2
터닝메카드W: 반다인의 비밀 특별판,75,전체관람가,홍헌표,295234900,38909,275,100,8.4,2,1,2
리틀 포레스트,103,전체관람가,임순례,72478457772,9149538,3497,265,8.4,7,2,2
지금 만나러 갑니다,131,12세이상관람가,이장훈,1.65E+11,20554061,4911,312,8,9,3,3
치즈인더트랩,116,15세이상관람가,김제영,5075094600,612868,872,235,6.1,4,1,3
덕구,91,전체관람가,방수인,21798841700,2865372,1724,178,8.7,5,4,4
곤지암,94,15세이상관람가,정범식,1.35E+11,16944901,4008,310,5.1,9,4,3
7년의 밤,123,15세이상관람가,추창민,18925624220,2513152,1903,546,5.3,6,4,3
바람 바람 바람,100,청소년관람불가,이병헌,52220697824,6377610,2995,326,6.3,10,2,4
극한직업,111,15세이상관람가,이병헌,1.29E+12,150477890,11031,518,7.4,10,4,1
머니백,100,15세이상관람가,허준형,1187224400,150310,957,238,6.6,3,2,4
파파 오랑후탄,83,12세이상관람가,장재혁,38427000,5075,7,42,9.2,3,1,4
독전,123,15세이상관람가,이해영,3E+11,34837542,6357,425,6.6,10,3,5
